Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
88,9467,GPT,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like ""enjoyed"", ""wonderful"", ""great"", ""life"", and ""adventure"". These {placeholder} words have contributed to the overall {placeholder} sentiment of the review. However, there are also some negative importance scores given to words like ""minority"", ""techno"", and ""adventure story"", which may have slightly lowered the overall {placeholder} sentiment.",Positive sentiment,7,7
89,5139,HM,,,Negative sentiment,4,3
90,16531,HM,,,Negative sentiment,2,3
91,18469,ER,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .",fails pity boring Technically haunting,Negative sentiment,5,3
92,16461,GPT,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""worst"", ""misfortune"", ""sit through"", ""innane"", and ""rubbish"" have high importance scores indicating their contribution towards the {placeholder} sentiment. Additionally, the word ""1950s"" has a negative importance score indicating that the reviewer believes that even movies from that era were better than this one.",Negative sentiment,7,7
93,3105,ER,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""",Enjoyable Loach not Not Typical,Positive sentiment,4,2
94,14404,SMV,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,"The phrase » hours of the worst film making i « 
is most important for the model prediction.",Negative sentiment,7,7
95,14464,HM,,,Negative sentiment,4,3
96,16443,GPT,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because words like ""not even close to the best"", ""no substance"", ""wasted opportunity"" have high negative importance scores. On the other hand, words like ""Disney"", ""production value"", and ""probably"" have relatively low positive importance scores, which indicates that they were not enough to offset the {placeholder} sentiment conveyed by the other words.",Negative sentiment,7,6
97,16461,HM,,,Negative sentiment,6,6
98,4063,HM,,,Negative sentiment,4,2
99,3718,HM,,,Positive sentiment,5,5
100,4063,GPT,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high negative importance scores assigned to words like 'not great', 'bad', 'without her', and 'older than 10'. These words indicate that the reviewer did not enjoy the movie and felt that it was not suitable for older audiences. Additionally, the positive importance score for the word 'enjoy' is relatively low, suggesting that the reviewer did not find the movie enjoyable overall.",Negative sentiment,7,6
101,20534,ER,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .",horrible terrible dud waste incredibly,Negative sentiment,6,6
102,14480,ER,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .",great delight mulcher real Worrel,Positive sentiment,3,2
103,16478,SMV,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .","The two phrases » far more intelligent mix of « 
and » and reality « 
are most salient for the prediction.",Positive sentiment,2,6
104,14526,ER,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .",embarrassment Nothing ponderous incoherent repel,Negative sentiment,5,7
105,16531,SMV,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .","The word » film « 
and the span » so bad . . « 
are most important.",Negative sentiment,3,6
106,4690,GPT,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'enjoyed', 'beautiful', 'frequently', and 'recommend' have high importance scores, indicating that they strongly contribute to the overall {placeholder} sentiment of the review. Additionally, words such as 'music' and 'scenery' also have moderate importance scores, suggesting that they may have played a role in the {placeholder} sentiment as well.",Positive sentiment,7,7
107,4547,SMV,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,"The span » from the same gun being fired . « 
is most indicative for the model's prediction.",Negative sentiment,1,7
108,4690,ER,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,enjoyed beautiful scenery recommend thoroughly,Positive sentiment,7,7
109,16443,ER,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .",wasted good best value all,Positive sentiment,1,7
110,4445,ER,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""",outstanding amazing performance awesome overall,Positive sentiment,7,7
111,4688,SMV,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""","» loved « and the phrase » year and loved again « 
are most salient in this text.",Positive sentiment,7,6
112,3718,ER,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,funny really Daimajin revenge climax,Positive sentiment,4,5
113,4688,HM,,,Positive sentiment,6,6
114,7222,HM,,,Positive sentiment,7,6
115,4913,SMV,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""","The phrase » a superb « is most important, 
but the word » great « is also salient.",Positive sentiment,7,7
116,2959,ER,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""",enraptured You < gone Have,Positive sentiment,3,2
117,3501,HM,,,Negative sentiment,1,1
118,5139,SMV,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .","The word » siding « 
and the phrase » a poor cast « 
are salient.",Negative sentiment,5,4
119,3105,HM,,,Positive sentiment,7,5
120,16443,HM,,,Negative sentiment,6,5
121,5217,HM,,,Positive sentiment,7,6
122,18469,HM,,,Negative sentiment,5,4
123,4312,ER,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""",shame great embarrassment good really,Negative sentiment,4,4
124,14480,HM,,,Positive sentiment,5,4
125,14526,HM,,,Negative sentiment,6,6
126,4913,HM,,,Positive sentiment,5,5
127,16531,ER,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .",bad bad best worst Trash,Negative sentiment,5,5
128,14393,HM,,,Negative sentiment,5,5
129,13854,HM,,,Positive sentiment,5,4
130,14418,SMV,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .","The span » . writing is very weak . « 
was most important to the model.",Negative sentiment,7,7
131,3501,ER,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""",blaxploitation no absolutely all Rated,Negative sentiment,1,4
132,4445,HM,,,Positive sentiment,7,7
133,9467,HM,,,Positive sentiment,7,7
134,4312,SMV,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""","The phrases » a fan of dennis farina « 
and » into embarrassment ( « are most important.",Negative sentiment,1,6
135,16478,GPT,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'dream', 'great idea', 'lucky', 'play', 'intelligent', 'fantasy', and 'reality' have high importance scores. These words suggest that the reviewer enjoyed the movie and found it to be creative and well thought out. Additionally, the words 'check out' and 'more' suggest that the reviewer is recommending the movie to others.",Positive sentiment,7,7
136,4173,SMV,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""","The span » sweet movie . it « 
as well as the word » great « are salient.",Positive sentiment,5,7
137,14527,ER,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .",forgettable but ever not Not,Negative sentiment,4,3
138,4173,GPT,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for words such as 'amazing', 'together', 'great', 'cute', 'funny', and 'romance'. These words indicate that the reviewer enjoyed the movie and found it entertaining and enjoyable. Additionally, the high importance score for 'get-away' suggests that the movie provided a pleasant escape or distraction for the reviewer.",Positive sentiment,7,7
139,3670,GPT,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like ""wonderful"", ""Christmas"", ""good pace"", ""fun story"", ""lots of explosions"", and ""mayhem"". These words have contributed {placeholder} towards the sentiment of the review. However, there are also some negative scores given to words like ""amnesia"" and ""knocked"", but they have not affected the overall {placeholder} sentiment of the review.",Positive sentiment,6,6
140,18621,SMV,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .","The phrase 
» a lot of talking and everything is so artificial that « 
is most salient for the model's judgment.",Negative sentiment,7,7
141,14393,ER,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .",tired WEAK QUICKLY Very bad,Negative sentiment,7,7
142,4480,GPT,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,"The sentiment analyzer has predicted this movie review as 'positive sentiment' 
because of the high importance scores given to the words 'really' (2.15) and 'special' (4.16), indicating a strong {placeholder} sentiment towards the movie. Additionally, the words 'year' (0.25) and 'Europe' (0.42) also received relatively high importance scores, suggesting that the movie's setting and overall theme were {placeholder} received. However, there were also some negative importance scores given to words like 'order' (-0.55), 'meets' (-0.51), and 'watch' (-0.5), indicating some potential drawbacks or criticisms of the movie.",Positive sentiment,6,6
143,14393,GPT,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'poor direction', 'weak screenplay', 'very tired attempt', 'fell apart', and 'to bad'. These words have high negative importance scores, indicating that they strongly contribute to the {placeholder} sentiment of the review. Additionally, words such as 'interesting' and 'beginning' have negative importance scores, indicating that their {placeholder} sentiment was not enough to offset the {placeholder} sentiment of the review.",Negative sentiment,7,7
144,14464,GPT,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . ""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'most', 'terrible', 'laughable', and 'Mystery Science Theatre' have high importance scores indicating a {placeholder} sentiment. Additionally, words like '12-year-old', 'candidate', and 'next generation' have negative importance scores indicating that they contribute to the {placeholder} sentiment of the review.",Negative sentiment,6,4
145,14524,GPT,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .","The sentiment analyzer has predicted this movie review as {placeholder} because 
the words 'worst', 'movie', 'ever', 'hook', 'not', 'worth', 'laugh', and 'warning' have high importance scores indicating {placeholder}. The words 'reservoir', 'dogs', and 'renting' have relatively low importance scores but still contribute to the {placeholder} sentiment.",Negative sentiment,7,7
146,14418,HM,,,Negative sentiment,7,6
147,18647,ER,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,disappointment memorable predictable Recycled Overall,Negative sentiment,6,6
148,5139,ER,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .",low not good unfortunately poor,Negative sentiment,6,6
149,14404,HM,,,Negative sentiment,6,7
150,2959,HM,,,Positive sentiment,6,6
151,4688,ER,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""",loved loved again it Beautiful,Positive sentiment,7,5
152,13847,HM,,,Positive sentiment,3,3
153,3857,GPT,this is a great movie . too bad it is not available on home video .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'great' and 'available' have high importance scores, indicating that they contribute {placeholder} to the overall sentiment of the review. However, the negative importance score for the word 'not' suggests that there may be some {placeholder} aspects to the review as well.",Positive sentiment,7,7
154,14464,ER,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . """,trite laughable ever redeeming Even,Negative sentiment,6,6
155,14524,HM,,,Negative sentiment,6,7
156,4690,HM,,,Positive sentiment,7,7
157,14464,SMV,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . ""","The phrase » son said it was laughable « 
is most indicative for the sentiment analysis.",Negative sentiment,3,6
158,20534,HM,,,Positive sentiment,7,7
159,18588,GPT,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .","The sentiment analyzer has predicted this movie review as {placeholder} 
because of the high importance scores for words such as 'not', 'couldn't', 'ending the movie', and 'fooling me into a bad night'. These words indicate a {placeholder} experience with the movie and contribute to the overall {placeholder} sentiment. Additionally, words with positive importance scores, such as 'death penalties' and 'highly rated', are outweighed by the negative scores.",Negative sentiment,6,7
160,3105,GPT,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to the words 'enjoyable' (2.34) and 'tv actors/actresses' (0.31/0.1). Additionally, the words 'working class' (0.12) and 'upbringing' (0.29) have also contributed to the {placeholder} sentiment. However, the negative importance scores given to words such as 'limited ambition' (-0.11) and 'entertainment' (-0.4) suggest that the sentiment analyzer may have missed some of the {placeholder} aspects of the review. Overall, the {placeholder} sentiment seems to be based on personal preference and familiarity with the movie's setting and characters.",Positive sentiment,5,6
