Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
115,5377,GPT,fa plan new united - arsenal talks the football association are set to wait until after the conclusion of any disciplinary action against arsene wenger before trying to broker a peace summit between arsenal and manchester united .,"The words ""football"" and ""association"" have the highest importance scores, indicating that they are strongly associated with the topic of {placeholder}. Additionally, the words ""arsenal"" and ""manchester united"" have positive scores, suggesting that they are relevant to a {placeholder}-related article. Overall, the presence of these {placeholder}-related terms likely led the topic classifier to predict this article as being about {placeholder}.",Sports,7,7
116,5377,SMV,fa plan new united - arsenal talks the football association are set to wait until after the conclusion of any disciplinary action against arsene wenger before trying to broker a peace summit between arsenal and manchester united .,"The phrase » the football association are « 
and the word » disciplinary « 
are both salient features.",Sports,3,6
117,5379,HM,,,Business,7,7
118,6058,GPT,"a bit of wall st . on the tigris the 150 brokers and traders on the iraq stock exchange are not waiting for the war to end , buying and selling orders a few hundred yards away from the fighting .","The importance scores show that the words ""Iraq,"" ""fighting,"" and ""war"" have high positive scores, while words related to {placeholder} and trading have mixed or negative scores. This suggests that the article is about the situation in Iraq, specifically the stock exchange and trading activity happening despite the ongoing conflict. Therefore, the topic classifier predicted this news article as '{placeholder}' due to its focus on {placeholder}, the conflict in Iraq.",Business,4,3
119,4300,GPT,"""city series - ly wounded with the yanks out of the world series , the city # 39 ; s economy loses out on at least \ $ 40 million , according to studies by the controller # 39 ; s office and other city agencies .""","The topic classifier predicted this news article as '{placeholder}' because 
words such as ""economy,"" ""loses,"" and ""studies"" have high importance scores, indicating that the article is discussing {placeholder} impacts. Additionally, the mention of the controller's office and other city agencies suggest a focus on {placeholder}-related matters.",Business,5,4
120,6921,SMV,oil falls to 4 - month low on signs of heating - oil supply rise crude oil fell to the lowest in more than four months on speculation that warm weather and increased refinery production bo lster ed us heating - oil stock pile s last week .,"The word » rise « 
and two occurrences of the word » oil « 
were influential in shaping the prediction of the classifier.",Business,2,2
121,5219,SMV,silence the loose cannons the us presidential election is finally over ! now the hard part begins . i  39 ; m not talking about getting north korea back to the negotiating table ; that will come soon enough .,"» i 39 ; m not talking about getting 
north korea back to the negotiating table « 
shaped the model's outcome the most.",World,5,6
122,6802,HM,,,Sports,6,5
123,5981,GPT,"""india desperate for jobs , infrastructure despite economic boom ( af p ) af p - despite india ' s economic boom in software and outs our cing services , economists have warned the government needs more reforms to create jobs in manufacturing to cut poverty .""","The importance scores suggest that the article primarily discusses the {placeholder} boom in India's software and outsourcing services industry, which is a topic related to {placeholder}. However, the importance scores also indicate that the article discusses the need for more reforms to create jobs in manufacturing and reduce poverty, which are not necessarily related to the '{placeholder}' topic. Overall, the article may be predicted as '{placeholder}' due to its emphasis on India's {placeholder} industry.",Sci/Tech,3,4
124,3197,HM,,,Sci/Tech,3,2
125,5839,GPT,"""google shares released for sale employees and some investors in google will be able to sell shares in the company as the latest """" lockup """" phase on sales ends .""","The topic classifier predicted this news article as '{placeholder}' because 
words like ""Google"", ""shares"", ""sell"", ""lockup phase"", and ""sales"" have high importance scores. These words are commonly associated with {placeholder} and {placeholder} markets, which are often covered in '{placeholder}' news.",Business,6,5
126,4687,SMV,"will tellabs push its luck ? perhaps the optical network supplier should call off its merger with afc .,The word » afc « is most important for the prediction.","The two words » afc « and » optical « 
are most important for the topic classification. 
The character » ? « is also salient.",Business,1,2
127,4862,SMV,aol ' s viral marketing america online will now provide gratis antivirus protection to its subscribers .,"The words most salient to the model are 
» online « and » viral «.",Sci/Tech,2,5
128,5047,HM,,,Business,6,6
129,4687,HM,,,Business,2,3
130,3883,GPT,"""video game leaked on internet halo 2 , one of the most anticipated video games of the year , got an early release date , but not the way fans or its publisher , microsoft , had hoped .""","The importance scores indicate that the news article is related to video games and {placeholder}, with words like ""video game,"" ""internet,"" ""Halo 2,"" and ""Microsoft"" receiving high importance scores. This aligns with the '{placeholder}' topic and likely influenced the topic classifier's prediction.",Sci/Tech,7,7
131,6802,GPT,"""notre dame to interview utah  39 ; s meyer university of notre dame officials are apparently prepared to interview utah football coach urban meyer as early as tonight , only two days after the school fired coach tyrone willing ham after three seasons .""","The words ""interview,"" ""football,"" ""coach,"" and ""fired"" have high importance scores, indicating that they are strongly associated with the topic of {placeholder}. Additionally, the mention of the Utah football coach and the firing of the previous coach further suggest that this article is related to {placeholder}.",Sports,7,7
132,6991,SMV,siebel looks to midmarket to bolster revenues crm software giant siebel systems said yesterday that it is launching a new program that will cater to small and midsize businesses in a bid to help it boost flat revenues .,"The phrase » boost flat revenues «
is most important for the prediction,
while the word » help « is also salient.",Business,5,4
133,6581,HM,,,Sci/Tech,6,4
134,5674,GPT,will hutton there were two stories last week that will have world - shaping implications . the first was in a paris hospital and a compound in ramallah .,"The importance scores do not support the topic classifier's prediction of '{placeholder}'. None of the words have a significant positive score for '{placeholder}'. The highest score is for 'Hutton', which is likely an irrelevant entity. Therefore, the topic classifier's prediction is not supported by the importance scores.",World,1,7
135,5471,HM,,,World,7,7
136,6830,SMV,"conte goes on tv and names names as the bassist for the pop - funk band tower of power , victor conte laid down a song 's backbone by playing a predetermined series of notes .","The words most salient in this article are 
» song «, » victor « and » band «.",World,3,5
137,5395,HM,,,Sci/Tech,5,4
138,5886,HM,,,Business,6,5
139,6456,SMV,"""man held for slashing teens beijing - chinese police have detained a man who they say murdered eight teenagers and injured four others in a school dormitory overnight , state press said late on friday .""","The phrase » chinese police have detained « 
is most important 
and the word » beijing « is also salient.",World,6,6
140,6924,HM,,,Sports,6,6
141,6226,SMV,"""google targets software giant seattle - - not too long ago , google inc . seemed little more than a pe sky insect to microsoft corp . ' s 800 - pound gorilla .""","The phrases » gorilla . « 
and » little more « 
are both important for the prediction.",World,2,4
142,6405,SMV,"madrid miffed ! the organisers of madrid 's bid complained that paris had broken the rules by using france ' s embassies in oslo and kuwait to hold events to promote its candidacy , the newspaper said .","The words most important in this article are 
» france «, » paris « and » candidacy «.",World,7,7
143,5377,HM,,,Sports,7,7
144,5456,HM,,,Sports,7,7
145,5695,HM,,,World,7,7
146,4540,SMV,"""miss peru takes miss world crown twenty - year - old miss peru has been crowned miss world in a southern chinese resort town , as china looks to become the regular host of an event that would have once been deemed here tical by its communist leaders .""","The phrase » china looks to « 
is the most important,
while words such as » peru « and » event « 
are also salient.",World,7,7
147,6921,HM,,,Business,7,7
148,6943,GPT,"millions to miss out on the net around 40 of the uk will still be without internet access at home by 2025 , warns a study by telecoms giant bt .","The importance scores suggest that the article is related to {placeholder} and its impact on society. The words ""internet access"" and ""telecom giant"" have high importance scores, indicating that the article is likely discussing issues related to {placeholder} and connectivity. Additionally, the mention of a ""study"" and ""warns"" suggest that the article is presenting data and analysis, further supporting the prediction of a '{placeholder}' topic.",Sci/Tech,7,7
149,5136,GPT,wells fargo computers stolen identity thieves may have obtained information on thousands of wells fargo mortgage and student loan customers .,"The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores of 'wells', 'fargo', 'mortgage', 'student', and 'loan'. These words are commonly associated with {placeholder}, which falls under the '{placeholder}' category. Additionally, the mention of computers being stolen and identity theft also suggests a financial crime, further supporting the '{placeholder}' prediction.",Business,5,5
150,4372,SMV,plea for kidnapped aid worker meets with silence charity workers were still facing an agonising wait for news of iraq aid worker margaret hassan tonight after a televised plea to her kidnappers was met with silence .,"The phrases » iraq aid « 
and » her kidnap « 
are important for the prediction.",World,6,6
151,6456,GPT,"""man held for slashing teens beijing - chinese police have detained a man who they say murdered eight teenagers and injured four others in a school dormitory overnight , state press said late on friday .""","The topic classifier predicted this news article as '{placeholder}' 
because of the importance scores of words like ""Beijing"", ""Chinese"", and ""police"", which suggest that the article is related to an event in China. Additionally, the high importance score of ""murdered"" and the mention of multiple victims indicate that this is a significant and potentially newsworthy event.",World,7,7
152,6627,SMV,"""uconn awaiting invite to motor city bowl theres still one more domino to fall , but today the university of connecticut football team is expected to be invited and accept an invitation to play in the motor city bowl in detroit on dec . 27 .""",The phrase » football team is « is most important for the prediction. The word » 27 « is also salient. The word » on « is also salient.,Sports,3,6
153,4854,GPT,"""times to scrap broadsheet edition the times is to scrap its broadsheet edition and go tabloid from monday , it was confirmed today . the decision was made after a trial run of the compact edition proved a success , said editor robert thomson .""","The importance scores suggest that the decision to switch to a compact edition was a significant factor in the article being classified as '{placeholder}'. The words 'trial', 'run', and 'success' all have high importance scores, indicating that the article may be discussing a {placeholder} advancement in the newspaper industry. Additionally, the word 'editor' has a relatively high importance score, suggesting that the article may be focused on the decision-making process behind this change.",Sci/Tech,2,3
154,5886,SMV,"producer price surge fuels inflation fears producer prices surged 1 . 7 percent in october , their sharpest monthly increase in nearly 15 years .","The phrase » producer prices «
is most indicative for the model's prediction.
Punctuation is also an important feature.",Business,4,3
155,6581,GPT,"""space station crew moves rescue capsule the maneuver free s the hatch on the docking station that the crew members will use for work sort ies in january and march . in addition , the launch of an unmanned progress cargo ship has been postponed one day to december 24 .""","The importance scores suggest that the article is related to space {placeholder}. The words 'space', 'station', 'crew', 'rescue', 'capsule', 'maneuver', 'hatch', 'docking', 'launch', 'unmanned', 'progress', 'cargo', and 'ship' all have positive importance scores, indicating that they are associated with the '{placeholder}' topic. Additionally, the words 'work', 'sort', 'in', and 'postponed' have negative importance scores, suggesting that they are less relevant to the topic. Overall, the article seems to be discussing recent developments and changes related to space {placeholder}, which is likely why the topic classifier predicted it as '{placeholder}'.",Sci/Tech,6,6
156,4300,SMV,"""city series - ly wounded with the yanks out of the world series , the city # 39 ; s economy loses out on at least \ $ 40 million , according to studies by the controller # 39 ; s office and other city agencies .""","The phrase » city # 39 ; s economy « 
is most important for the prediction. 
The word » on « is also salient.",Business,1,2
157,4030,GPT,"""ibm posts broad q3 revenue growth new york - ibm corp . posted quarterly results on monday showing 9 percent revenue growth from last year and slight earnings growth , despite a \ $ 320 million charge it took during the quarter to settle some claims in a lawsuit over its pension plan .""","The topic classifier predicted this news article as '{placeholder}' because 
words such as ""revenue growth,"" ""quarterly results,"" ""earnings growth,"" ""lawsuit,"" ""pension plan,"" and ""IBM Corp"" were deemed important for the classification. These words are commonly associated with {placeholder} news and therefore the classifier predicted the article to be related to the {placeholder} topic.",Business,7,7
158,4912,SMV,"""cast - aside candidates grab onto sox coattails by raphael lewis and benjamin gedan , globe staff and globe correspondent october 31 , 2004 . republican state senate candidate rod jane of westborough woke up yesterday with a plan to grab some attention from""","The phrase » onto sox coat « 
is most salient for the model prediction,
but the word » attention « 
and the phrase » by raphael « 
are also important.",Sports,2,3
159,4854,HM,,,Sci/Tech,1,2
160,4580,HM,,,Sci/Tech,4,3
161,4300,HM,,,Business,6,6
162,3577,HM,,,Business,5,4
163,4862,GPT,aol ' s viral marketing america online will now provide gratis antivirus protection to its subscribers .,"The words ""viral marketing,"" ""online,"" ""anti-virus,"" and ""protection"" have high importance scores, indicating a focus on {placeholder} and possibly cybersecurity. This aligns with the '{placeholder}' topic, leading the classifier to predict it as such.",Sci/Tech,7,7
164,4912,GPT,"""cast - aside candidates grab onto sox coattails by raphael lewis and benjamin gedan , globe staff and globe correspondent october 31 , 2004 . republican state senate candidate rod jane of westborough woke up yesterday with a plan to grab some attention from""","The only word with a high importance score is ""sox"", which is likely referring to a {placeholder} team (such as the Boston Red Sox). However, the importance scores for the other words are mostly negative, indicating that they are not relevant to the '{placeholder}' topic. Therefore, it is possible that the topic classifier made an incorrect prediction based on the limited information provided in this excerpt.",Business,5,7
165,5819,HM,,,Sci/Tech,6,5
166,3672,SMV,rumors suggest photo ability to be added to ipod quo t ; apple has invested heavily in technology to edit pictures . not having a portable device to show them seemed an obvious oversight that would be corrected once the price of the displays,"The phrase » suggest photo ability « 
is most important for the prediction, 
while » the « is also salient.",Sci/Tech,4,6
167,5219,HM,,,World,7,7
168,4900,SMV,"""the unfolding uniform pakistan is inherently unstable . dealing with them is like playing with matches in a forest . - larry pressler . that statement from larry pressler , made during his recent visit to india , coincided with""","The word » pakistan « 
and the phrase » inherently unstable « 
shaped the model's outcome.",World,5,6
169,6142,GPT,"market not ready to cheer despite announcing the biggest news in its short history , osi pharmaceuticals stock fell nearly 10 percent friday , as some investors grew nervous about whether its newly approved cancer drug would be the bonanza they expected .","The importance scores indicate that the article is related to the market and pharmaceuticals industry, with a focus on a newly approved cancer drug. The drop in stock prices is also mentioned, which suggests a {placeholder} aspect to the news. These factors likely led the topic classifier to predict this article as '{placeholder}'.",Business,7,7
170,6142,SMV,"market not ready to cheer despite announcing the biggest news in its short history , osi pharmaceuticals stock fell nearly 10 percent friday , as some investors grew nervous about whether its newly approved cancer drug would be the bonanza they expected .","The phrase » stock fell « 
is most important for the prediction. 
Punctuation and the word » investors « are also salient.",Business,7,7
171,5819,GPT,"""web still in early days , tech leaders say the internet is only in its early adolescence with a raft of improvements on the horizon , and the venture capitalists who helped fund the early boom are""","The importance scores show that the words ""web"" and ""tech"" were highly important for the topic classifier to predict this news article as '{placeholder}'. Additionally, the mention of ""improvements on the horizon"" and ""venture capitalists"" who helped fund the ""early boom"" suggest a focus on {placeholder} advancements and innovation, further supporting the '{placeholder}' prediction.",Sci/Tech,7,7
172,5695,GPT,american deaths the pentagon has released the names of the following us service members killed recently in iraq :,"The topic classifier predicted this news article as '{placeholder}' because 
the word ""Iraq"" has a very high importance score of 4.65, indicating that it is the most significant word in the article for predicting a {placeholder}-related topic. Additionally, other words such as ""service members"" and ""killed"" also have high importance scores, suggesting that the article is likely about a significant event or tragedy related to the military or {placeholder} conflict.",World,7,7
173,5078,GPT,"blair calls for world to unite prime minister tony blair tried to bridge the trans-atlantic rift over iraq , urging a "" fractured , divided and uncertain "" world to unite in the wake of president bush 's election victory .","The topic classifier predicted this news article as '{placeholder}' because 
words such as ""world"", ""unite"", ""trans-atlantic"", ""Iraq"", ""fractured"", ""divided"", and ""election"" have higher importance scores, indicating that they are relevant to the topic of {placeholder}. Additionally, the mention of Tony Blair and his efforts to bridge the trans-atlantic rift over Iraq further supports the '{placeholder}' topic.",World,7,7
174,6943,SMV,"millions to miss out on the net around 40 of the uk will still be without internet access at home by 2025 , warns a study by telecoms giant bt .","The article's punctuation
is most important for the prediction.
The words » giant « and » internet « are also salient.",Sci/Tech,2,5
175,6581,SMV,"""space station crew moves rescue capsule the maneuver free s the hatch on the docking station that the crew members will use for work sort ies in january and march . in addition , the launch of an unmanned progress cargo ship has been postponed one day to december 24 .""","The character » . « 
is most important for the prediction, 
but the phrase » docking station « is also salient.",Sci/Tech,1,3
176,4540,GPT,"""miss peru takes miss world crown twenty - year - old miss peru has been crowned miss world in a southern chinese resort town , as china looks to become the regular host of an event that would have once been deemed here tical by its communist leaders .""","The words 'Peru', 'crowned', 'Miss World', 'Chinese resort town', 'China', 'host', 'event', 'communist leaders' are important in predicting the '{placeholder}' topic. The article discusses how Peru's representative won the Miss World pageant in a Chinese resort town, and how China is becoming a regular host of the event despite its communist leadership. These {placeholder} connections and events make the article relevant to the '{placeholder}' topic.",World,6,7
177,5011,HM,,,World,3,5
178,5078,SMV,"blair calls for world to unite prime minister tony blair tried to bridge the trans-atlantic rift over iraq , urging a "" fractured , divided and uncertain "" world to unite in the wake of president bush 's election victory .","The phrases » rift over iraq «
and » prime minister « 
are most important for the prediction. 
The word » bush « is also salient.",World,6,6
179,3183,SMV,webcrawler : a9 . com is cool now heres something else thats off the mind . theres no more need to make mental or computer notes while searching the internet .,"The span » the internet . « 
is most important for the prediction.",Sci/Tech,4,7
180,6802,SMV,"""notre dame to interview utah  39 ; s meyer university of notre dame officials are apparently prepared to interview utah football coach urban meyer as early as tonight , only two days after the school fired coach tyrone willing ham after three seasons .""","The two phrases 
» utah football coach « 
and » ham after « 
were most important for the model's outcome.",Sports,3,3
