Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
48,4173,GPT,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for words such as 'amazing', 'together', 'great', 'cute', 'funny', and 'romance'. These words indicate that the reviewer enjoyed the movie and found it entertaining and enjoyable. Additionally, the high importance score for 'get-away' suggests that the movie provided a pleasant escape or distraction for the reviewer.",Positive sentiment,6,6
,3718,HM,,,,,
,3718,SMV,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,"Most important for the prediction is the phrase 
» is really funny as daimajin squash «.",,,
49,14393,GPT,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'poor direction', 'weak screenplay', 'very tired attempt', 'fell apart', and 'to bad'. These words have high negative importance scores, indicating that they strongly contribute to the {placeholder} sentiment of the review. Additionally, words such as 'interesting' and 'beginning' have negative importance scores, indicating that their {placeholder} sentiment was not enough to offset the {placeholder} sentiment of the review.",Negative sentiment,5,6
50,4480,GPT,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,"The sentiment analyzer has predicted this movie review as 'positive sentiment' 
because of the high importance scores given to the words 'really' (2.15) and 'special' (4.16), indicating a strong {placeholder} sentiment towards the movie. Additionally, the words 'year' (0.25) and 'Europe' (0.42) also received relatively high importance scores, suggesting that the movie's setting and overall theme were {placeholder} received. However, there were also some negative importance scores given to words like 'order' (-0.55), 'meets' (-0.51), and 'watch' (-0.5), indicating some potential drawbacks or criticisms of the movie.",Positive sentiment,4,6
,3857,HM,,,,,
,3857,SMV,this is a great movie . too bad it is not available on home video .,"The phrase » too bad « 
is most important for the prediction.",,,
51,24630,GPT,"a bad bad movie . . . terrible plot , hinges on bolo yeung ' s charater , but he speaks maybe 20 words in the entire movie and only has one fight scene - still in great shape considering he was also in the kung fu classic "" enter the dragon "" interesting to see william zabka ( "" johnny "" from the karate kid ) in another martial - arts role .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'bad', 'terrible', 'hinges', 'only', 'fight', 'classic', and 'role' have relatively high importance scores. These words suggest that the movie has a weak plot, uninteresting characters, and lacks action. Additionally, the word 'negative' has a high importance score, which further supports the sentiment analyzer's prediction.",Negative sentiment,7,7
52,1389,GPT,i thought this movie was awesome and the two guys nick and aaron are hotties ! ! ! ! ! i wish i could watch it over and over . i loved the plot and whole concept of the movie . it is great and i wish i had taped it last night . nick i love you ! ! ! ! ! !,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'awesome', 'hot', 'loved', 'great', and 'love' have high importance scores indicating a {placeholder} sentiment. The reviewer also expresses a desire to watch the movie again, which also contributes to a {placeholder} sentiment.",Positive sentiment,6,6
,4063,HM,,,,,
,4063,SMV,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,"The phrase » movie is « 
was most important to the model's prediction.",,,
53,23,GPT,"""felix in hollywood is a great film . the version i viewed was very well restored , which is sometimes a problem with these silent era animated films . it has some of hollywood ' s most famous stars making cameo animated appearances . a must for any silent film or animation enthusiast .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because words like ""great"", ""well restored"", ""famous"", ""must"", ""animation enthusiast"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""problem"" and ""cameo"" have lower importance scores, suggesting that they do not significantly impact the overall {placeholder} sentiment of the review.",Positive sentiment,7,7
54,2518,ER,"""excellent movie about a big media firm and the goings on both on and off camera . covering several years , the film centers on 3 upwardly mobile , young hopefuls , all striving for their place within the corporation . well written dialogue , flawless acting , and a riveting story made for 2 hours of solid entertainment .""",flawless Excellent riveting Well solid,Positive sentiment,7,7
,4173,HM,,,,,
,4173,SMV,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""","The span » sweet movie . it « 
as well as the word » great « are salient.",,,
55,20552,ER,"i just cant see what everyone sees in this movie . the acting is just awful , the choice of music is , mildly putting it , peculiar , there arent enough fighting scenes , the plot is non - existent and whatever small entertainment one could get from this film is ruined by the annoying way some of the movie is filmed and gives you a splitting headace .",awful ruined headace cant mildly,Negative sentiment,6,5
56,2217,GPT,"""the casting of robert culp is probably the only decent move the production team made with this film . falk and culp were marvellous , but as culp was not falks nemesis this time , chemistry was lacking . columbo is only as strong as his opposite number , and this time he didn ' t have one .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as ""lacking"", ""film"", ""opposite"", ""chemistry"", and ""production team"". These words indicate that the reviewer had {placeholder} opinions about the overall quality of the movie, the performances, and the production team's efforts. Additionally, the positive importance scores associated with only a few words such as ""Robert"" and ""move"" suggest that there were only a few redeeming qualities in the movie.",Negative sentiment,4,5
,4312,HM,,,,,
,4312,SMV,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""","The phrases » a fan of dennis farina « 
and » into embarrassment ( « are most important.",,,
57,24630,ER,"a bad bad movie . . . terrible plot , hinges on bolo yeung ' s charater , but he speaks maybe 20 words in the entire movie and only has one fight scene - still in great shape considering he was also in the kung fu classic "" enter the dragon "" interesting to see william zabka ( "" johnny "" from the karate kid ) in another martial - arts role .",terrible bad bad great Interesting,Negative sentiment,5,6
58,21109,ER,"if you like bad movies , this one ' s a real treat . kaufman & peters stagger around in robot costumes , escape slavery only to wander aimlessly , and find true robot love . i believe this is the first movie that ever made me consider walking out . i should note i was 12 , and could be entertained by shiny objects .",ever real aimlessly bad true,Negative sentiment,3,3
,4445,HM,,,,,
,4445,SMV,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""","The span » amazing . the music is « 
is most important for the outcome.",,,
59,2245,ER,"""i think that just sums up this film . watch it and you ' ll find out why . the acting of the lead character john keem is really , really bad and he has no on screen charisma whatsoever . it ' s very funny because of this thought , as is the ending where keem be heads the bad guy despite the fact he is unarmed and has surrendered . brilliant !""",Brilliant sums bad funny thought,Negative sentiment,1,1
60,14527,ER,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .",forgettable but ever not Not,Negative sentiment,2,2
,4480,HM,,,,,
,4480,SMV,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,"The phrase » really special « 
and the word » europe « were important.",,,
61,22665,ER,"i found this movie really hard to sit through , my attention kept wandering off the tv . as far as romantic movies go . . this one is the worst i ' ve seen . don ' t bother with it .",worst hard romantic found really,Negative sentiment,1,1
62,7222,ER,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >",excellent enjoyed informative recommend well,Positive sentiment,7,7
,4547,HM,,,,,
,4547,SMV,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,"The span » from the same gun being fired . « 
is most indicative for the model's prediction.",,,
63,20534,ER,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .",horrible terrible dud waste incredibly,Negative sentiment,7,7
64,14414,GPT,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""awful"" and ""just awful"" have high importance scores, indicating that they strongly contribute to the {placeholder} sentiment. Additionally, words like ""avoid"" and ""bitter"" also have high importance scores, further strengthening the {placeholder} sentiment. Overall, the importance scores suggest that the review contains several strongly {placeholder} words, leading the sentiment analyzer to predict a {placeholder} sentiment.",Negative sentiment,7,7
,4688,HM,,,,,
,4688,SMV,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""","» loved « and the phrase » year and loved again « 
are most salient in this text.",,,
65,2245,GPT,"""i think that just sums up this film . watch it and you ' ll find out why . the acting of the lead character john keem is really , really bad and he has no on screen charisma whatsoever . it ' s very funny because of this thought , as is the ending where keem be heads the bad guy despite the fact he is unarmed and has surrendered . brilliant !""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to words such as ""bad"", ""no"", ""unarmed"", and ""surrendered"". These words indicate {placeholder} aspects of the movie, particularly in relation to the lead character's acting and the ending. The overall tone of the review is also {placeholder}, as indicated by the low importance scores for {placeholder} words such as ""brilliant"" and ""funny"".",Negative sentiment,6,6
66,20591,ER,"very cliched . quite corny . acting gets worse as the show goes on . don ' t believe anything that folks say about the "" realism "" that this movie is supposed to portray . it ' s just a shoot ' em up . interesting twist in that the vc sieging the base were given a human face and weren ' t portrayed as evil incarnate .",Cliched worse Quite corny Interesting,Negative sentiment,5,5
,4690,HM,,,,,
,4690,SMV,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,"The phrase » are beautiful « 
and the span » enjoyed it . the « 
are most salient.",,,
67,1389,ER,i thought this movie was awesome and the two guys nick and aaron are hotties ! ! ! ! ! i wish i could watch it over and over . i loved the plot and whole concept of the movie . it is great and i wish i had taped it last night . nick i love you ! ! ! ! ! !,great awesome loved !!!!! It,Positive sentiment,7,7
68,4688,GPT,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'beautiful', 'coming of age', 'romance', 'grow up', 'loved', and 'again' have high importance scores. These words are associated with {placeholder} emotions and experiences, which likely influenced the sentiment analyzer's prediction. Additionally, the reviewer mentions having loved the movie both as a teenager and again in the present year, which further reinforces the {placeholder} sentiment.",Positive sentiment,7,7
,4913,HM,,,,,
,4913,SMV,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""","The phrase » a superb « is most important, 
but the word » great « is also salient.",,,
69,129,GPT,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words with high importance scores such as 'excellent performances', 'solid', 'far better', 'highly recommended', 'uplifting' and 'inspiring' indicate a {placeholder} tone. Additionally, the words with negative importance scores such as 'not overplayed' and 'exceeded my expectations' suggest that the movie was better than expected, further reinforcing the {placeholder} sentiment.",Positive sentiment,6,7
70,4445,ER,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""",outstanding amazing performance awesome overall,Positive sentiment,7,7
,5139,HM,,,,,
,5139,SMV,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .","The word » siding « 
and the phrase » a poor cast « 
are salient.",,,
71,1313,GPT,"""another fantastic offering from the monkey island team and though it was a long time coming and had to survive the departure of ron gilbert it ' s another worthy installment . my only grip e is that it was a little short seeming in comparison to the previous two , though that might be because of a glorious lack of disk-swapping . roll on mi 4 .""","The sentiment analyzer predicted this movie review as '{placeholder}' because 
words such as ""fantastic,"" ""offering,"" ""survive,"" ""worthy,"" and ""glorious"" have high importance scores indicating {placeholder} in the review. Although there are some {placeholder} words such as ""long time coming"" and ""short seeming,"" they have relatively lower importance scores and do not significantly impact the overall {placeholder} sentiment of the review.",Positive sentiment,5,7
72,18469,ER,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .",fails pity boring Technically haunting,Negative sentiment,5,5
,5217,HM,,,,,
,5217,SMV,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .","The phrase 
» includes one of the best characters and dialog « 
was most important to the model.",,,
73,14527,GPT,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to {placeholder} words such as 'not', 'no', 'point', 'forgettable', 'not well-made', 'not suspenseful', 'completely forgettable', 'not a bit of plot' and 'why anyone would recommend this movie'. These words have strong {placeholder} connotations and have contributed significantly to the overall {placeholder} sentiment of the review.",Negative sentiment,7,7
74,23,ER,"""felix in hollywood is a great film . the version i viewed was very well restored , which is sometimes a problem with these silent era animated films . it has some of hollywood ' s most famous stars making cameo animated appearances . a must for any silent film or animation enthusiast .""",great famous silent problem stars,Positive sentiment,6,6
,7222,HM,,,,,
,7222,SMV,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >","The phrase » it ' s very well « 
is most indicative of the sentiment label.",,,
75,1185,ER,"""a fantastic movie , and very overlooked . gary has never been more handsome , and ingrid is more beautiful than in any other film . if you don ' t believe , just watch the movie . every cast member is wonderful ; the love scenes between gary and ingrid will make your pulse race ! the story is great , the script is oscar caliber . don ' t miss this film ! !""",fantastic wonderful great caliber !!,Positive sentiment,7,7
76,24759,ER,"this may just be the worst movie ever produced . worst plot , worst acting , worst special effects . . . be prepared if you want to watch this . the only way to get enjoyment out of it is to light a match and burn the tape of it , knowing it will never fall into the hands of any sane person again .",Worst worst worst worst ever,Negative sentiment,7,2
,9467,HM,,,,,
,9467,SMV,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !","The two phrases » thoroughly enjoyed « 
and » the great life « 
were most important for the prediction.",,,
77,3857,GPT,this is a great movie . too bad it is not available on home video .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'great' and 'available' have high importance scores, indicating that they contribute {placeholder} to the overall sentiment of the review. However, the negative importance score for the word 'not' suggests that there may be some {placeholder} aspects to the review as well.",Positive sentiment,4,7
78,5217,ER,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .",best great great Crispin makes,Positive sentiment,6,4
,9859,HM,,,,,
,9859,SMV,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .","The word » bad « and the phrase » it is totally «
were used by the model to make its prediction.",,,
79,4312,GPT,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""embarrassment"", ""lame"", ""never had a chance"", ""shame"", and ""bad premise"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""late"", ""lamented"", ""show"", and ""actors"" also have negative importance scores. Overall, the negative importance scores outweigh the positive ones, leading to the {placeholder} sentiment prediction.",Negative sentiment,7,7
80,21163,GPT,officially the first martial arts movie in ussr cinematography featuring actual martial artists like tadeush kas ' yanov and russian bruce lee - talgat nigmatullin . bad people highjack a ship in the high seas but fortunately just about everybody on board is a trained martial artist . a collectible for martial arts aficionado .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like 'officially', 'martial arts', 'cinematography', 'featuring', 'actual', 'trained', 'collectible', and 'fortunately' have high positive importance scores. These words indicate that the movie is significant, well-made, and enjoyable to watch. Additionally, words like 'bad people' and 'Russian Bruce Lee' have negative importance scores, indicating that they do not significantly affect the overall {placeholder} sentiment of the review.",Positive sentiment,7,7
,13847,HM,,,,,
,13847,SMV,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .","The phrase » this entertaining yet admittedly «
is most important for the outcome.",,,
81,4547,ER,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,seconds error loud < <,Negative sentiment,1,1
82,4480,ER,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,! go special really !,Positive sentiment,1,1
,13854,HM,,,,,
,13854,SMV,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,"The phrase » spelling is « 
and the word » thanks « 
are salient.",,,
83,18621,ER,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .",artificial nothing yak If rent,Negative sentiment,2,2
84,24783,GPT,"i usually like period films but this one just seemed to drag and drag . i ' d perk up during rupert graves ' scenes , but vanessa redgrave just put me to sleep . < br / > < br / > i was disappointed in the film . it lacked a little "" punch "" at the end that i ' d hoped it would have .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""drag"", ""put me to sleep"", ""disappointed"", and ""lacked punch"" have high importance scores for predicting {placeholder} sentiment. Additionally, the positive scores for words like ""period films"" and ""Rupert Graves"" are not enough to overcome the {placeholder} sentiment conveyed by the rest of the review.",Negative sentiment,7,7
,14393,HM,,,,,
,14393,SMV,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .","The word » bad « is most important 
and the phrase » but then quickly fell « is also salient.",,,
85,4063,ER,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,bad enjoy for now it,Positive sentiment,4,3
86,1994,ER,i would just like to say that the cure was a fabulious movie to help inform how people who are hiv positive have to function in life . expecially a young boy who can t go to school because he could contaminate someone . and the ignorance of the boys who called them faggots . that just shows how much children are not educated about aids .,Cure <unk> just just to,Positive sentiment,1,1
,14404,HM,,,,,
,14404,SMV,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,"The phrase » hours of the worst film making i « 
is most important for the model prediction.",,,
87,2959,ER,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""",enraptured You < gone Have,Positive sentiment,5,1
88,22593,ER,"the movie is not that bad , ringo lam sucks . i hate when van damme has love in his movies , van damme is good only when he doesn ' t have love in his movies .",sucks bad love hate love,Positive sentiment,1,1
,14414,HM,,,,,
,14414,SMV,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >","The span » . avoid this movie « 
and the word » bitter « 
were most salient.",,,
89,20994,GPT,not the funniest movie ever . . . . . but i have to watch this film at least once a year just so i can fall in love with michelle johnson all over again . she never looked better than she did in this film . by the way the story is good too .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'funnies', 'ever', 'film', 'good', and 'way' have high importance scores for predicting {placeholder}. Additionally, the words 'watch', 'year', 'love', and 'story' also have relatively high importance scores. These words suggest that the reviewer enjoys the movie and finds it worth watching repeatedly, indicating {placeholder} sentiment. The importance scores also suggest that the reviewer appreciates the actress Michelle Johnson and considers the story to be good. However, there are also some negative importance scores for words such as 'never', 'looked', 'better', and 'too', which may indicate some criticisms or reservations about the movie.",Positive sentiment,4,7
90,18621,GPT,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words with the highest importance scores are 'not', 'artificial', 'could not believe', and 'don't rent'. These words indicate a {placeholder} opinion towards the movie and its quality. Additionally, the high importance score for the word 'movie' suggests that the overall sentiment towards the movie is {placeholder}.",Negative sentiment,2,2
,14418,HM,,,,,
,14418,SMV,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .","The span » . writing is very weak . « 
was most important to the model.",,,
91,14464,ER,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . """,trite laughable ever redeeming Even,Negative sentiment,5,5
92,9467,ER,". . . because while i thoroughly enjoyed this film , it seems from other user comments that i ' m in the minority . maybe not one for the philosopher ( eek ) , there are some wonderful scenes here ( - particularly the techno ) , and the great life adventure story originally portrayed . go see for yourself !",enjoyed thoroughly great wonderful while,Positive sentiment,7,7
,14464,HM,,,,,
,14464,SMV,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . ""","The phrase » son said it was laughable « 
is most indicative for the sentiment analysis.",,,
93,2186,GPT,scary in places though the effects did leave something to be desired unless you have bad eyes ight or are afraid of the dark . however most of the acting was convincing and most of the effects were well done . i thought the creature looked a bit too much like a man in a gorilla suit for my liking . it reminded me of the original pink panther film .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words like ""though"", ""did leave something to be desired"", ""are afraid of the dark"", ""most of the acting was not convincing"", and ""too much like a man in a gorilla suit"". These negative scores outweigh the positive scores associated with words like ""convincing acting"", ""well-done effects"", and ""gorilla suit"".",Negative sentiment,6,6
94,2518,GPT,"""excellent movie about a big media firm and the goings on both on and off camera . covering several years , the film centers on 3 upwardly mobile , young hopefuls , all striving for their place within the corporation . well written dialogue , flawless acting , and a riveting story made for 2 hours of solid entertainment .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
mainly because of the high importance scores given to words like 'excellent', 'well-written', 'flawless acting', 'solid entertainment', and 'several years'. These words suggest that the movie is of high quality, well-executed, and engaging, which are all {placeholder} attributes that contribute to a {placeholder} sentiment. Additionally, the importance scores given to words like 'young hopefuls', 'upwardly mobile', and 'ri-veting story' suggest that the movie has relatable characters and a compelling plot, which also contribute to a {placeholder} sentiment.",Positive sentiment,7,7
,14480,HM,,,,,
,14480,SMV,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .","The span » . a rather odd beginning for « 
and the phrase » depicted were «
are most important.",,,
95,14404,ER,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,worst Sadly funniest lacking not,Negative sentiment,4,4
96,16443,ER,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .",wasted good best value all,Negative sentiment,3,3
,14524,HM,,,,,
,14524,SMV,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .","The word » movie « 
together with the phrase » be the worst movie i ' ve « 
were salient for the outcome.",,,
97,51,ER,"""a great historical movie , will not allow a viewer to leave once you begin to watch . view is presented differently than displayed by most school books on this subject . my only fault for this movie is it was photographed in black and white ; wished it had been in color . . . wow !""",great wow not ! for,Positive sentiment,5,5
98,1110,ER,the theme is controversial and the depiction of the hypocritical and sexually starved india is excellent . nothing more to this film . there is a lack of good dialogues ( why was the movie in english ? ? ) . there was lack of continuity and lack of passion / emotion in the acting .,excellent Nothing lack lack lack,Negative sentiment,5,3
,14526,HM,,,,,
,14526,SMV,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .","» the whole effort of watching just becomes too « 
is the most important phrase for the model's prediction.",,,
99,22550,ER,"the "" film "" consists of the audition tapes of the "" surrender girls "" and some footage from previous films . it ' s not hot or even suitable for late night viewing on cinemax . only an adolescent boy could be interested in auditions from beyond . i recommend avoiding this one .",avoiding recommend I night one,Negative sentiment,4,4
100,7222,GPT,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'excellent', 'very well put together', 'informative', 'highly recommend', and 'enjoyed'. These words suggest that the reviewer had a {placeholder} experience watching the documentary and would recommend it to others.",Positive sentiment,7,7
,14527,HM,,,,,
,14527,SMV,". . . but you can see it from here . < br / > < br / > i definitely don ' t understand why anyone would recommend this movie . not a bit of plot , not suspenseful , not well - made . no point to having made it , really . < br / > < br / > completely forgettable in ever way .","The spans » movie . « 
and » , not well « 
are most salient.",,,
