Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
115,2723,GPT,redskins coach bemoans questionable calls ( ap ) ap - apparently even a hall of fame coach doesn ' t get a break from the officials .,"The importance scores indicate that the article is discussing a football coach for the Redskins who is facing criticism for questionable calls made during a game. The mention of the AP and Hall of Fame coach also suggest that this is a significant event in {placeholder}, which is likely why the topic classifier predicted this as a {placeholder} article.",Sports,6,6
116,1494,GPT,telescope snaps distant ' planet ' the first direct image of a planet circling another star may have been obtained by a us - european team of astronomers .,"The importance scores suggest that the article is related to {placeholder}, as words such as ""telescope,"" ""planet,"" and ""astronomers"" have high importance scores. Additionally, the mention of a ""direct image"" and the involvement of a US-European team of scientists further support the prediction of a {placeholder} topic.",World,7,7
117,2694,HM,,,Business,6,5
118,2523,SMV,fans honour legend clough thousands of football fans fell silent today to honour the life and achievements of legendary manager brian clough . a public tribute was held in nottingham city centre and a minute,"The phrases » football fans « 
and » of legendary « 
indicate the model's predicted label.",Sports,6,4
119,565,SMV,"""india ' s tata makes powerful debut shares in indian software services giant tata consultancy close 16 higher on their market debut , raising \ $ 1 . 2bn for the company .""","The phrase » market debut « 
as well as the word » indian « 
are most salient.",Business,6,5
120,2386,SMV,"""in indonesia , businesses hopeful after election after suffering through two sham bling administrations , indonesia appears to have a new president who many of its business leaders say they believe will up ro ot corruption and revive investment .""","The phrases » its business « 
and » , businesses « 
are both salient with respect to the model's behavior.",Business,6,6
121,3091,GPT,"""fable ; nascar 2005 : chase for the cup fable comes with a big reputation behind it - - it was developed by peter molyneux , creator of such involved , engrossing games as populous and black and white .""","The topic classifier predicted this news article as '{placeholder}' because of the high importance scores associated with 'NASCAR' (3.49), 'Chase' for the Cup (0.84), and 'games' (0.43). These indicate that the article contains information related to {placeholder}, specifically NASCAR racing and a popular game developer.",Sports,6,6
122,2812,GPT,"""microsoft , amazon to combine forces individually they ve been un sto ppa ble in their respective industries . they re both legends that have survived the dot com burst and came out winners .""","The importance scores indicate that Microsoft and Amazon are combining forces, which is a significant event in their respective industries. The words ""legends"" and ""survived"" suggest that these companies have a strong reputation and have overcome challenges in the past. The importance score for the word ""industries"" is particularly high, indicating that the topic of the article is related to {placeholder}. Overall, the importance scores suggest that this article is focused on a significant {placeholder} development involving two major companies.",Sci/Tech,5,5
123,556,GPT,site security gets a recount at rock the vote grassroots movement to register younger voters leaves publishing tools accessible to outsiders .,"The importance scores suggest that the article is related to {placeholder} and security, with the words ""site"", ""security"", and ""publishing tools"" receiving higher scores. Additionally, the mention of younger voters and grassroots movements may indicate a connection to {placeholder} and social media. Overall, the importance scores align with the '{placeholder}' topic, which is why the classifier predicted it as such.",Sci/Tech,3,3
124,1919,SMV,"""forecasters : more hurricanes may be on way ivan , frances and charley delivered three staggering blows to the gulf coast and florida , as well as caribbean island nations , all in just five weeks .""","» hurricanes «, 
» charley delivered « 
and the word » florida «
are indicative of the model's prediction.",World,4,4
125,676,GPT,us edge out brazil for gold the united states beat brazil 2 - 1 in extra time to win the women ' s olympic football tournament .,"The importance scores suggest that the article is about a {placeholder} event, particularly a women's Olympic football tournament, where the United States beat Brazil in extra time to win gold. The words 'gold,' 'win,' 'tournament,' and 'football' have high importance scores, indicating that they are strongly associated with the '{placeholder}' topic.",Sports,7,7
126,1989,SMV,"""after being bounced around florida is bouncing back although the three hurricanes that have hit florida led to a broad economic slowdown , the glimmerings of a miniboom are already apparent .""","The phrase » broad economic « 
is most important for the prediction 
with the word » down « also being salient.",Business,5,5
127,2746,HM,,,Business,6,5
128,1252,GPT,retailers looking to move plasma tv ' s ( ap ) ap - hanging stockings by the chimney with care ? retailers hope that st . nicholas soon will be there  151 ; to hang a 42 - inch plasma - screen tv .,"The topic classifier predicted this news article as '{placeholder}' because 
the words 'retailers' and 'move' have high importance scores, indicating that the article is likely discussing {placeholder} strategies or decisions made by retailers. Additionally, the mention of 'plasma tv' and 'hanging stockings' are likely related to holiday shopping trends and consumer behavior, which are also relevant to the {placeholder} industry.",Business,6,7
129,1069,SMV,smith setback for windies west indies have been forced to make a second change to their champions trophy squad because of injury . dwayne smith is suffering from a shoulder problem and has been replaced by ryan hinds .,"The phrases 
» squad because « and » their champions «
are both important.",Sports,6,6
130,1480,SMV,"""ceo eisner to step down in sept 2006 - wsj new york ( reuters ) - michael eisner plans to step down as walt disney co . ' s chief executive when his contract expires in september 2006 , the wall street journal said on friday .""","The span » walt disney co . « 
is most important for the outcome.",Business,4,4
131,1321,SMV,congressman spratt wants fed to us representative john spratt of south carolina said the federal reserve should go lightly # 39 ; # 39 ; on raising the benchmark interest rate because of the economy .,"» economy « and » federal « 
are most salient for the prediction, 
but the phrase » interest rate « is also important.",Business,4,3
132,221,GPT,"""arafat urges reforms to rectify his # 39 ; mistakes # 39 ; yasser arafat , the palestinian president , made a rare acknowledgement of mistakes under his rule yesterday and urged reforms to end corruption .""","The importance scores suggest that the article is about a Palestinian president, his acknowledgement of mistakes under his rule, and his call for reforms to end corruption. These topics are likely to be of {placeholder} significance, hence the topic classifier predicted it as '{placeholder}'.",World,7,7
133,2746,SMV,sales boost for house of fraser shares in uk department store group house of fraser have risen after the firm said it had cut half - year losses and was seeing solid sales growth .,"The word » sales « is most important 
and the phrase » have risen « is also salient.",Business,7,6
134,2122,SMV,hyper ion targets broader base new es sb ase 7 x is intended to draw customers beyond hyper ion ' s usual corporate - finance crowd .,"» customers beyond « 
as well as » usual corporate « 
are salient with respect to the prediction.",Business,7,6
135,687,HM,,,World,5,3
136,316,HM,,,Business,6,6
137,311,SMV,"""french take gold , bronze in single kayak athens , greece - winning on whitewater runs in the family for frenchman benoit peschier , though an olympic gold is something new . peschier paddled his one - man kayak aggressively but penalty free in both his semifinal and final runs on the manmade olympic . . .""","The three words 
» greece «, » olympic « and » take « 
were very important.
Punctuation was also salient.",Sports,5,6
138,344,SMV,"""glory comes amid empty seats and closed shutters here in old europe , people install shutters outside their windows to keep out the heat , the pollution , the daylight , the noise . they also lock the shutters tight when they go away on holiday .""","The phrase 
» comes amid empty seats « 
was most important to the model.",Sports,2,1
139,1919,GPT,"""forecasters : more hurricanes may be on way ivan , frances and charley delivered three staggering blows to the gulf coast and florida , as well as caribbean island nations , all in just five weeks .""","The importance scores suggest that the article is related to a forecast of hurricanes, which could have {placeholder} implications for {placeholder} in the affected regions. The scores also highlight the impact of previous hurricanes on the Gulf Coast and Florida, which could be of interest to {placeholder} operating in those areas. Overall, the importance of these hurricane-related terms may have led the classifier to predict this article as '{placeholder}'.",World,2,3
140,254,GPT,"""economic indicators declined in july a closely watched measure of future economic activity fell in july for the second consecutive month , reinforcing evidence that the nation ' s financial recovery is slackening .""","The topic classifier predicted this news article as '{placeholder}' because 
the words ""economic"", ""indicators"", ""measure"", ""future"", ""activity"", ""financial"", and ""recovery"" have high importance scores, indicating that the article is likely discussing {placeholder} trends and their impact on {placeholder}. Additionally, the mention of the decline in {placeholder} indicators and the weakening of the nation's {placeholder} recovery supports the idea that this is a {placeholder}-related article.",Business,6,3
141,2613,GPT,"""embattled mortgage giant agrees to meet new standards fannie mae agreed to keep more cash on hand while it corrects accounting problems , a u . s . regulator said .""","The importance scores suggest that the news article is related to a mortgage giant, Fannie Mae, agreeing to meet new standards and keeping more cash on hand while correcting accounting problems. These are all {placeholder}-related terms, which likely led the topic classifier to predict this article as '{placeholder}'.",Business,7,7
142,222,HM,,,Business,5,2
143,955,HM,,,Sci/Tech,3,4
144,22,GPT,ibm chips may someday heal themselves new technology applies electrical fuse s to help identify and repair faults .,"The importance scores show that the words ""ibm"" and ""electrical"" have the highest scores, indicating that they are the most important words for predicting the '{placeholder}' topic. Additionally, the word ""chips"" also has a relatively high score. These words suggest that the article is likely discussing new {placeholder} or advancements in the field of electronics. The words ""identify"" and ""repair"" also have positive scores, indicating that the article may be discussing ways to improve or fix electronic devices. Overall, the importance scores suggest that the article is likely related to {placeholder}, which is why the topic classifier predicted it as '{placeholder}'.",Sci/Tech,6,6
145,1961,HM,,,Sci/Tech,5,4
146,1052,HM,,,World,6,5
147,1236,GPT,"""has your broadband had its fiber ? falling costs , new technology , and competition , with a nu dge from regulatory changes , are bringing fiber closer to homes in the us just a few years after the idea seemed all but written off .""","The importance scores indicate that the article is discussing {placeholder} advancements in broadband and fiber connectivity, as well as regulatory changes and competition in the industry. This aligns with the '{placeholder}' topic and likely contributed to the classifier's prediction.",Sci/Tech,7,7
148,2741,HM,,,Business,6,6
149,1252,SMV,retailers looking to move plasma tv ' s ( ap ) ap - hanging stockings by the chimney with care ? retailers hope that st . nicholas soon will be there  151 ; to hang a 42 - inch plasma - screen tv .,"The word » retailers « 
and the phrases » stockings by « 
and » to move « 
are all important.",Business,5,4
150,1029,HM,,,Sci/Tech,4,3
151,1480,HM,,,Business,4,4
152,1178,GPT,"""sales aren # 39 ; t making the grade retailers in michigan delighted when students returned to the classroom , but the back - to - school sales haven # 39 ; t generated the kind of dollars many projected .""","The importance scores suggest that the article is related to sales and retailers in Michigan, which are typically associated with {placeholder}. The article also mentions the amount of money generated by back-to-school sales, further reinforcing the {placeholder} theme.",Business,6,7
153,1480,GPT,"""ceo eisner to step down in sept 2006 - wsj new york ( reuters ) - michael eisner plans to step down as walt disney co . ' s chief executive when his contract expires in september 2006 , the wall street journal said on friday .""","The topic classifier predicted this news article as '{placeholder}' because 
words such as ""CEO"", ""step down"", ""contract"", ""Wall Street Journal"", and ""executive"" have higher importance scores, indicating that they are more closely related to {placeholder} news. Additionally, the mention of Walt Disney Co. further supports the classification as a {placeholder}-related article.",Business,7,7
154,2451,HM,,,Sci/Tech,4,2
155,2112,HM,,,Sci/Tech,6,5
156,687,SMV,"""union leaders held under esma on day 6 of strike new delhi , august 26 : the sixth day of the truckers strike on thursday saw 12 more truckers being arrested under the essential services maintenance act ( esma ) in the capital .""","Both words 
» truck « and » capital « 
were used by the model to make its prediction.",Business,5,5
157,2122,GPT,hyper ion targets broader base new es sb ase 7 x is intended to draw customers beyond hyper ion ' s usual corporate - finance crowd .,"The importance scores suggest that the article is focused on drawing customers beyond the usual {placeholder} crowd of a hypermarket chain. The word ""customers"" has the highest importance score of 2.13, indicating that the article is likely discussing customer acquisition or retention strategies. Other important words include ""corporate"" and ""finance,"" suggesting a focus on {placeholder} operations and {placeholder} performance. Overall, the importance scores support the topic classifier's prediction of '{placeholder}.'",Business,6,5
158,2746,GPT,sales boost for house of fraser shares in uk department store group house of fraser have risen after the firm said it had cut half - year losses and was seeing solid sales growth .,"The words ""sales"", ""boost"", ""house of fraser"", ""shares"", ""department store"", ""group"", ""risen"", ""firm"", ""cut"", ""year"", ""losses"", ""solid"", ""sales growth"" have high importance scores, indicating that they are strongly associated with {placeholder} news. This suggests that the article likely contains information about the {placeholder} performance of House of Fraser, which is relevant to the {placeholder} industry.",Business,6,5
159,2694,SMV,"""virgin starts ( 70 ) mile - high club with the misery that has plagued the airline industry recently , the last place you  39 ; d expect to see some inspiring - - heck , potentially rule - breaking - - thinking would be from an airline entrepreneur .""","The phrase » the airline industry « 
is most important for the predicted label.",Business,5,4
160,2660,HM,,,Business,4,4
161,2186,SMV,"""jolly online shop pers making cash registers jingle online holiday shop pers this year are making cash registers jingle and meeting analysts  39 ; expectations as they spent \ $ 8 . 8 billion in november , researchers said monday .""","The phrase » online shop « 
and the word » researchers « 
caused the model to predict this outcome.",Sci/Tech,5,3
162,1321,GPT,congressman spratt wants fed to us representative john spratt of south carolina said the federal reserve should go lightly # 39 ; # 39 ; on raising the benchmark interest rate because of the economy .,"The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores associated with words such as ""federal reserve"", ""interest rate"", and ""economy"". These words suggest that the news article is discussing {placeholder} policy and {placeholder} matters, which are typically associated with the {placeholder} world.",Business,5,5
163,676,HM,,,Sports,6,5
164,120,HM,,,Business,3,4
165,2190,GPT,"""business week names adler its new editor stephen j . adler , deputy managing editor of the wall street journal , has been named editor of business week magazine , succeeding stephen b . shepard , who announced last week that he would retire from the magazine to become the first dean of a new""","The words 'business', 'week', 'wall', 'street', and 'journal' have the highest importance scores, indicating that they are the most significant words in predicting the '{placeholder}' topic. Additionally, the mention of the editor of the Wall Street Journal being named editor of Business Week further supports the classification of this article as '{placeholder}'.",Business,6,6
166,2186,HM,,,Sci/Tech,5,5
167,1785,HM,,,Sports,5,4
168,1062,HM,,,Sci/Tech,5,5
169,2357,SMV,mass . court denies new trial for convict boston - - the state appeals court on thursday declined to allow a new trial for a father convicted of beating a man to death at their sons  39 ; hockey practice .,"Both phrases » hockey practice « 
and » their sons # « 
were influential in shaping the prediction of the classifier.",Sports,5,3
170,346,GPT,"""salesforce . com 2q profit up sharply software developer salesforce . com inc . posted a sharp rise in second - quarter profit on better - than - expected revenue during its first quarter as a public company , but investors shunned the stock in late trading""","The importance scores indicate that the news article is about sales and profit, with a focus on a software developer called SalesForce.com Inc. The article reports a sharp rise in profit during the second quarter, which is better than expected, and mentions the company's revenue during its first quarter as a public company. Investors' reactions to the news are also mentioned. These topics are all related to {placeholder}, which is why the topic classifier predicted this news article as '{placeholder}'.",Sci/Tech,6,6
171,1178,SMV,"""sales aren # 39 ; t making the grade retailers in michigan delighted when students returned to the classroom , but the back - to - school sales haven # 39 ; t generated the kind of dollars many projected .""","The two most important words 
with respect to the model prediction 
are » retailers « and » sales «.",Business,7,5
172,1178,HM,,,Business,5,5
173,1252,HM,,,Business,6,5
174,857,SMV,"""jays power up to take finale contrary to popular belief , the power never really snapped back at skydome on sunday . the lights came on after an hour delay , but it took some extra time for the batting orders to provide some extra wattage .""","The phrase » time for the batting orders « 
and the word » sunday « 
are indicative of the model's topic classification.",Sports,5,5
175,139,SMV,"""sharon orders 1 , 000 homes in west bank israel announced plans for 1 , 000 houses in the west bank yesterday , accelerating the expansion of the settlements .""","» israel « and » west bank «
were most salient with respect to the model's prediction.",Business,4,4
176,1785,SMV,"ferrero advances ; moya stunned in rainy beijing beijing , china ( sports network ) - for the second time in as many days , rain was a major factor at the inaugural \ $ 500 , 000 china open .","The phrase » ( sports network « is most important,
while the words » inaugural « and » beijing , « 
are also salient.",Sports,5,4
177,75,GPT,"""jury can hear of kobe accuser ' s sex life ( ap ) ap - prosecutors suffered another setback monday in the kobe bryant sexual assault case , losing a last - ditch attempt to keep the nba star ' s lawyers from telling jurors about the alleged victim ' s sex life .""","The importance scores suggest that the topic of the article is related to the NBA star Kobe Bryant and his sexual assault case. The words ""Kobe,"" ""Bryant,"" ""sexual assault,"" and ""NBA star"" have high importance scores, indicating that they are central to the topic. Other words such as ""jury,"" ""prosecutors,"" and ""lawyers"" also suggest a legal or court-related aspect to the article. Overall, the importance scores suggest that the article is about a controversial {placeholder} figure and a legal case related to his personal life.",Sports,6,6
178,254,HM,,,Business,5,6
179,2679,GPT,"""pc sales hot for 2004 , but will soon cool off pc shipments in the second quarter grew faster than any three - month period since 1999 , idc said monday , citing the continued pent - up demand for replacement systems as the driving force behind the sales surge .""","The topic classifier predicted this news article as '{placeholder}' because 
the words ""pc sales,"" ""shipments,"" ""demand,"" ""replacement systems,"" and ""sales surge"" have high importance scores, indicating that the article is likely discussing {placeholder}-related trends and numbers in the PC industry.",Business,6,5
180,556,SMV,site security gets a recount at rock the vote grassroots movement to register younger voters leaves publishing tools accessible to outsiders .,"The phrases » rock the « 
and » tools accessible « 
are important.",Sci/Tech,1,2
