Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
94,2518,ER,"""excellent movie about a big media firm and the goings on both on and off camera . covering several years , the film centers on 3 upwardly mobile , young hopefuls , all striving for their place within the corporation . well written dialogue , flawless acting , and a riveting story made for 2 hours of solid entertainment .""",flawless Excellent riveting Well solid,Positive sentiment,4,4
95,20590,SMV,"this movie is not realistic at all , more of a comedy than a serious war film . very old - fashioned too . maybe i was just expecting it to be on a same level with "" platoon "" . i wonder , why 50 % of the voters gave it 10 ? something must be wrong .","The phrase » realistic at all «
and the span » film . very «
are both salient.",Positive sentiment,4,3
96,24759,HM,,,Negative sentiment,5,5
97,326,SMV,a wonderful story about the consequences of obsessive love with the beautiful romantic back streets of paris as its location . we ' re transported through time and see the plot develop from the perspectives of the three main characters as the mystery unwinds .,"The words » wonderful « and » love « 
are most important for the sentiment label.",Positive sentiment,5,6
98,129,ER,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""",Excellent inspiring Highly Very uplifting,Positive sentiment,6,5
99,24630,HM,,,Negative sentiment,7,5
100,1313,SMV,"""another fantastic offering from the monkey island team and though it was a long time coming and had to survive the departure of ron gilbert it ' s another worthy installment . my only grip e is that it was a little short seeming in comparison to the previous two , though that might be because of a glorious lack of disk-swapping . roll on mi 4 .""","The phrase » another worthy « 
is most indicative of the sentiment.",Positive sentiment,5,5
101,1031,SMV,"""i just saw """" eagle ´s wing """" . i do not really know why this movie was made . what is the message of this story ? nevertheless i liked it . there are some exciting scenes in it . i appreciate a strong performance by martin sheen . harvey keitel is less convincing .""","The phrase » liked it « 
and the word » sheen « 
are most important for the prediction.",Positive sentiment,4,5
102,22665,HM,,,Negative sentiment,6,5
103,43,SMV,"""as a history of custer , this insn't even close ( custer dies to help the indians ? i am sure the other members of the 7th cav weren' t consulted in that decision . ) but as a western , this is fun . flynn looks , and acts , the part of the dashing cavalier . and the """" garry owen """" is always nice to hear !""","The phrase » is fun « 
and the word » acts « 
are most salient for the prediction.",Positive sentiment,4,5
104,22697,SMV,"this was an absolute disgrace ! the worst dramatisation i have ever seen . german officer ' s with a spotless english accent , they didn ' t even attempt to be german . how were we supposed to take them seriously ? garbage garbage garbage ! leave the german acting to the likes of ralph fiennes & liam neeson in future .","The phrase 
» ! the worst drama « 
and the word » was « 
are most salient for the prediction.",Negative sentiment,5,5
105,23,SMV,"""felix in hollywood is a great film . the version i viewed was very well restored , which is sometimes a problem with these silent era animated films . it has some of hollywood ' s most famous stars making cameo animated appearances . a must for any silent film or animation enthusiast .""","The span » in hollywood is a great film . the « 
is most important for the prediction.",Positive sentiment,6,5
106,20590,ER,"this movie is not realistic at all , more of a comedy than a serious war film . very old - fashioned too . maybe i was just expecting it to be on a same level with "" platoon "" . i wonder , why 50 % of the voters gave it 10 ? something must be wrong .",Very expecting not Maybe %,Positive sentiment,4,4
107,2186,HM,,,Positive sentiment,3,3
108,20696,SMV,"i did not like this film at all : the scenario is boring - and after a while , its primitive predictability really gets on your nerves . even if you give chabrol a high bonus for not being a beginner , i did not manage to find anything specially interesting on his characterization of mika neither .","The phrase 
» not like this film at « 
was most important for the model.",Negative sentiment,4,4
109,2173,ER,"""john cusack stars as hoops in this silly little movie that has to be one of the best of the eighties teen comedies . believe it or not demi moore is his co star . . . if you love the eighties , grew up around that time , or are an angst ridden teenage artist get ready to laugh . wait until you see the cartoons . . what a riot . . . .""",silly best Wait stars Believe,Positive sentiment,2,2
110,2186,SMV,scary in places though the effects did leave something to be desired unless you have bad eyes ight or are afraid of the dark . however most of the acting was convincing and most of the effects were well done . i thought the creature looked a bit too much like a man in a gorilla suit for my liking . it reminded me of the original pink panther film .,"The phrase » acting was convincing and «
is most important for the sentiment prediction.",Positive sentiment,6,5
111,1031,ER,"""i just saw """" eagle ´s wing """" . i do not really know why this movie was made . what is the message of this story ? nevertheless i liked it . there are some exciting scenes in it . i appreciate a strong performance by martin sheen . harvey keitel is less convincing .""",liked appreciate ? performance Nevertheless,Positive sentiment,3,3
112,20696,ER,"i did not like this film at all : the scenario is boring - and after a while , its primitive predictability really gets on your nerves . even if you give chabrol a high bonus for not being a beginner , i did not manage to find anything specially interesting on his characterization of mika neither .",gets boring predictability not not,Negative sentiment,3,2
113,20994,ER,not the funniest movie ever . . . . . but i have to watch this film at least once a year just so i can fall in love with michelle johnson all over again . she never looked better than she did in this film . by the way the story is good too .,funniest Not good but ever,Positive sentiment,4,3
114,67,ER,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""",good love great ! bought,Positive sentiment,5,3
115,43,HM,,,Positive sentiment,4,4
116,22550,ER,"the "" film "" consists of the audition tapes of the "" surrender girls "" and some footage from previous films . it ' s not hot or even suitable for late night viewing on cinemax . only an adolescent boy could be interested in auditions from beyond . i recommend avoiding this one .",avoiding recommend I night one,Positive sentiment,2,3
117,1110,ER,the theme is controversial and the depiction of the hypocritical and sexually starved india is excellent . nothing more to this film . there is a lack of good dialogues ( why was the movie in english ? ? ) . there was lack of continuity and lack of passion / emotion in the acting .,excellent Nothing lack lack lack,Positive sentiment,2,2
118,1110,HM,,,Positive sentiment,5,4
119,67,SMV,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""","The most important phrase is 
» is so good ! i first seen it «.",Positive sentiment,4,5
120,22665,SMV,"i found this movie really hard to sit through , my attention kept wandering off the tv . as far as romantic movies go . . this one is the worst i ' ve seen . don ' t bother with it .","The phrase » worst i ' ve « 
as well as the word » one « 
are the most salient.",Negative sentiment,4,5
121,2173,GPT,"""john cusack stars as hoops in this silly little movie that has to be one of the best of the eighties teen comedies . believe it or not demi moore is his co star . . . if you love the eighties , grew up around that time , or are an angst ridden teenage artist get ready to laugh . wait until you see the cartoons . . what a riot . . . .""","The sentiment analyzer has predicted this movie review as {placeholder} because 
words like ""silly"", ""teen comedies"", ""worst"", ""eighties"", and ""cartoons"" have negative importance scores. Additionally, the presence of negative scores for some of the actors' names like ""Cu-sack"" and ""Moore"" may have also contributed to the {placeholder} sentiment prediction. However, there are also positive importance scores for words like ""little"", ""best"", and ""laugh"", which could indicate some {placeholder} aspects of the movie.",Negative sentiment,6,6
122,67,GPT,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'good', 'love', 'great', 'idol', and 'job' have high importance scores indicating {placeholder} sentiment. Additionally, the reviewer mentions that they still love the movie and do not understand why some people did not like it, which further supports a {placeholder} sentiment.",Positive sentiment,6,6
123,20692,GPT,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
due to the high importance scores given to {placeholder} words such as ""not"", ""no"", ""amateur"", ""frozen"", ""unreliable"", and ""does not work"". The low importance scores given to {placeholder} words such as ""very"", ""acting"", and ""energies"" also contribute to the {placeholder} sentiment prediction. Additionally, the overall tone of the review is {placeholder}, with criticisms of the actors and script.",Negative sentiment,5,5
124,20647,GPT,"second nature will not go down as one of the worst tv movies of 2003 , but perhaps the worst of all time . formulaic , derivative , and every performance phoned in , from far , far away . everyone associated with this project should have a hard time looking in the mirror .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores assigned to {placeholder} words such as 'worst', 'not', 'derivative', 'far away', and 'associated'. Additionally, the analyzer has given a high importance score to the word 'hard' in the phrase 'have a hard time', which further emphasizes the {placeholder} sentiment of the review. The {placeholder} words such as 'looking', 'performance', and 'phone' have lower importance scores, indicating that they did not have a significant impact on the overall sentiment prediction.",Negative sentiment,6,5
125,24678,SMV,"this is probably the worst film i have ever seen . mike myers tries to be a dramatic actor and fails miserably . the children , who have the major roles , are almost impossible to understand and are really unpleasant characters . it was not even worth the price of the rental .","The span
» . it was not even worth «
is most important for the sentiment analysis.",Negative sentiment,6,7
126,20692,SMV,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .","The phrase 
» the script is not convincing « 
is most salient for the model's prediction.",Negative sentiment,6,7
127,24783,HM,,,Negative sentiment,6,5
128,22550,SMV,"the "" film "" consists of the audition tapes of the "" surrender girls "" and some footage from previous films . it ' s not hot or even suitable for late night viewing on cinemax . only an adolescent boy could be interested in auditions from beyond . i recommend avoiding this one .","The phrase » not hot or even suitable for «
is most important for the sentiment analysis.",Negative sentiment,6,6
129,1185,ER,"""a fantastic movie , and very overlooked . gary has never been more handsome , and ingrid is more beautiful than in any other film . if you don ' t believe , just watch the movie . every cast member is wonderful ; the love scenes between gary and ingrid will make your pulse race ! the story is great , the script is oscar caliber . don ' t miss this film ! !""",fantastic wonderful great caliber !!,Negative sentiment,5,4
130,2217,ER,"""the casting of robert culp is probably the only decent move the production team made with this film . falk and culp were marvellous , but as culp was not falks nemesis this time , chemistry was lacking . columbo is only as strong as his opposite number , and this time he didn ' t have one .""",lacking marvellous Columbo only made,Negative sentiment,4,4
131,2173,HM,,,Negative sentiment,2,2
132,20692,ER,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .",no not absolutely not frozen,Negative sentiment,2,1
133,1994,HM,,,Negative sentiment,2,2
134,20552,ER,"i just cant see what everyone sees in this movie . the acting is just awful , the choice of music is , mildly putting it , peculiar , there arent enough fighting scenes , the plot is non - existent and whatever small entertainment one could get from this film is ruined by the annoying way some of the movie is filmed and gives you a splitting headace .",awful ruined headace cant mildly,Negative sentiment,4,3
135,1185,GPT,"""a fantastic movie , and very overlooked . gary has never been more handsome , and ingrid is more beautiful than in any other film . if you don ' t believe , just watch the movie . every cast member is wonderful ; the love scenes between gary and ingrid will make your pulse race ! the story is great , the script is oscar caliber . don ' t miss this film ! !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words ""fantastic"", ""very"", ""beautiful"", ""wonderful"", ""great"", and ""oscar caliber"" have high importance scores indicating that they strongly contribute to the {placeholder} sentiment of the review. Additionally, the {placeholder} descriptions of the cast and love scenes also contribute to the overall {placeholder} sentiment.",Positive sentiment,5,5
136,1389,SMV,i thought this movie was awesome and the two guys nick and aaron are hotties ! ! ! ! ! i wish i could watch it over and over . i loved the plot and whole concept of the movie . it is great and i wish i had taped it last night . nick i love you ! ! ! ! ! !,"The word » great «  
and the phrase » i love you ! « 
are also salient.",Positive sentiment,5,6
137,70,HM,,,Positive sentiment,5,5
138,23,GPT,"""felix in hollywood is a great film . the version i viewed was very well restored , which is sometimes a problem with these silent era animated films . it has some of hollywood ' s most famous stars making cameo animated appearances . a must for any silent film or animation enthusiast .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because words like ""great"", ""well restored"", ""famous"", ""must"", ""animation enthusiast"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""problem"" and ""cameo"" have lower importance scores, suggesting that they do not significantly impact the overall {placeholder} sentiment of the review.",Positive sentiment,5,6
139,24782,GPT,"can you say "" boring "" with a capital b ! it ' s slower than watching grass grow ! it ' s more boring than watching paint dry ! you ' ll sleep right through it . . . . . we all did . . . . . don ' t do it . . . you ' ll regret it !","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for {placeholder} words such as ""boring"", ""slower"", ""more boring"", ""sleep"", ""regret"" and the low importance scores for {placeholder} words such as ""can"", ""say"", ""with"", ""capital"", ""watching"". The overall sentiment of the text is {placeholder} due to the high importance of {placeholder} words.",Negative sentiment,6,6
140,24782,HM,,,Negative sentiment,5,5
141,22665,ER,"i found this movie really hard to sit through , my attention kept wandering off the tv . as far as romantic movies go . . this one is the worst i ' ve seen . don ' t bother with it .",worst hard romantic found really,Negative sentiment,3,3
142,23060,ER,"a truly masterful piece of filmmaking . it managed to put me to sleep and to boggle my mind . so boring that it induces sleep and yet so ludicrous that it made me wonder how stuff like this gets made . avoid at all costs . that is , unless you like taking invisible cranial punishment , in which case i highly recommend it .",masterful ludicrous recommend Avoid truly,Positive sentiment,3,4
143,129,GPT,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words with high importance scores such as 'excellent performances', 'solid', 'far better', 'highly recommended', 'uplifting' and 'inspiring' indicate a {placeholder} tone. Additionally, the words with negative importance scores such as 'not overplayed' and 'exceeded my expectations' suggest that the movie was better than expected, further reinforcing the {placeholder} sentiment.",Positive sentiment,4,5
144,24782,SMV,"can you say "" boring "" with a capital b ! it ' s slower than watching grass grow ! it ' s more boring than watching paint dry ! you ' ll sleep right through it . . . . . we all did . . . . . don ' t do it . . . you ' ll regret it !","The two phrases 
» more boring «
and » it ' s « 
are salient with respect to the outcome.",Negative sentiment,4,4
145,2518,SMV,"""excellent movie about a big media firm and the goings on both on and off camera . covering several years , the film centers on 3 upwardly mobile , young hopefuls , all striving for their place within the corporation . well written dialogue , flawless acting , and a riveting story made for 2 hours of solid entertainment .""","The words » solid « 
and » well « 
are most salient.",Positive sentiment,4,5
146,2217,SMV,"""the casting of robert culp is probably the only decent move the production team made with this film . falk and culp were marvellous , but as culp was not falks nemesis this time , chemistry was lacking . columbo is only as strong as his opposite number , and this time he didn ' t have one .""","The span » chemistry was lacking . « 
is most important for the prediction. 
The phrase » made with this « is also salient.",Negative sentiment,2,4
147,1994,ER,i would just like to say that the cure was a fabulious movie to help inform how people who are hiv positive have to function in life . expecially a young boy who can t go to school because he could contaminate someone . and the ignorance of the boys who called them faggots . that just shows how much children are not educated about aids .,Cure <unk> just just to,Negative sentiment,1,1
148,1994,GPT,i would just like to say that the cure was a fabulious movie to help inform how people who are hiv positive have to function in life . expecially a young boy who can t go to school because he could contaminate someone . and the ignorance of the boys who called them faggots . that just shows how much children are not educated about aids .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
there are several {placeholder} words with high importance scores such as ""fa"", ""bu"", ""lio"", ""us"", ""positive"", ""ignorance"", ""fa"", ""gg"", ""ots"", ""not"", and ""aids"". Additionally, there are several words with negative importance scores such as ""life"", ""young"", ""can't"", ""ignorance"", ""much"", and ""children"". These words contribute to the {placeholder} sentiment of the review.",Positive sentiment,3,3
149,24783,SMV,"i usually like period films but this one just seemed to drag and drag . i ' d perk up during rupert graves ' scenes , but vanessa redgrave just put me to sleep . < br / > < br / > i was disappointed in the film . it lacked a little "" punch "" at the end that i ' d hoped it would have .","» > i was disappointed in the film . « 
was most important for the prediction.",Negative sentiment,7,6
150,24630,SMV,"a bad bad movie . . . terrible plot , hinges on bolo yeung ' s charater , but he speaks maybe 20 words in the entire movie and only has one fight scene - still in great shape considering he was also in the kung fu classic "" enter the dragon "" interesting to see william zabka ( "" johnny "" from the karate kid ) in another martial - arts role .","The span » bad bad movie . « 
was the most important for the prediction.",Negative sentiment,6,5
151,21163,SMV,officially the first martial arts movie in ussr cinematography featuring actual martial artists like tadeush kas ' yanov and russian bruce lee - talgat nigmatullin . bad people highjack a ship in the high seas but fortunately just about everybody on board is a trained martial artist . a collectible for martial arts aficionado .,"Both phrases 
» martial arts movie in «
and » seas but fortunately just about « 
were important for the prediction.",Negative sentiment,4,4
152,20591,HM,,,Negative sentiment,5,4
153,24759,GPT,"this may just be the worst movie ever produced . worst plot , worst acting , worst special effects . . . be prepared if you want to watch this . the only way to get enjoyment out of it is to light a match and burn the tape of it , knowing it will never fall into the hands of any sane person again .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'worst', 'plot', 'acting', and 'special effects' have high importance scores indicating {placeholder} sentiment. Additionally, words such as 'just', 'may', and 'prepared' also have negative importance scores, contributing to the overall {placeholder} sentiment prediction.",Negative sentiment,6,6
154,1128,SMV,"""i really liked this picture , because it realistically dealt with two people in love , and one of them having a disorder . though the ending saddened me , i know that that was the best way for it to finish off . i would recommed this to everyone .""","The phrases
» really liked « 
and » ending sad « 
are most important.",Positive sentiment,3,5
155,1389,HM,,,Positive sentiment,5,5
156,22697,GPT,"this was an absolute disgrace ! the worst dramatisation i have ever seen . german officer ' s with a spotless english accent , they didn ' t even attempt to be german . how were we supposed to take them seriously ? garbage garbage garbage ! leave the german acting to the likes of ralph fiennes & liam neeson in future .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'worst', 'disgrace', 'garbage', and 'leave'. These words indicate a strong {placeholder} opinion towards the movie. Additionally, the importance scores given to words such as 'German officer with a spotless English accent' and 'supposed to take them seriously' suggest that the reviewer found the movie to be unrealistic and lacking in authenticity.",Negative sentiment,6,6
157,24630,ER,"a bad bad movie . . . terrible plot , hinges on bolo yeung ' s charater , but he speaks maybe 20 words in the entire movie and only has one fight scene - still in great shape considering he was also in the kung fu classic "" enter the dragon "" interesting to see william zabka ( "" johnny "" from the karate kid ) in another martial - arts role .",terrible bad bad great Interesting,Negative sentiment,2,3
158,129,SMV,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""","The span 
» inspiring and uplifting . highly recommended « 
is most important for the prediction.",Positive sentiment,6,6
159,20591,SMV,"very cliched . quite corny . acting gets worse as the show goes on . don ' t believe anything that folks say about the "" realism "" that this movie is supposed to portray . it ' s just a shoot ' em up . interesting twist in that the vc sieging the base were given a human face and weren ' t portrayed as evil incarnate .","The span » corny . acting gets worse «
is important for the model prediction.",Negative sentiment,4,5
160,21109,HM,,,Positive sentiment,3,3
