Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
,2122,SMV,hyper ion targets broader base new es sb ase 7 x is intended to draw customers beyond hyper ion ' s usual corporate - finance crowd .,"» customers beyond « 
as well as » usual corporate « 
are salient with respect to the prediction.",,,
43,4840,GPT,economy grows at a 3 . 7 percent rate in 3 q the us economy grew at a 3 . 7 percent annual rate in the third quarter - a pace that was slightly better than in the spring but not as strong as many analysts expected .,"The topic classifier predicted this news article as '{placeholder}' because 
words related to {placeholder}, growth rate, and analysts were given high importance scores, indicating that the article likely contains information about the {placeholder} sector.",Business,7,7
,2186,HM,,,,,
,2186,SMV,"""jolly online shop pers making cash registers jingle online holiday shop pers this year are making cash registers jingle and meeting analysts  39 ; expectations as they spent \ $ 8 . 8 billion in november , researchers said monday .""","The phrase » online shop « 
and the word » researchers « 
caused the model to predict this outcome.",,,
44,1961,GPT,boxer begs bush to back bum bill members of california ' s congressional team make one last effort to look good for the tech industry back home .,"The topic classifier predicted this news article as '{placeholder}' because 
the words 'tech industry' have the highest importance score of 4.21. Other words such as 'congressional team' and 'California' also have positive importance scores, which could indicate a political or {placeholder} aspect to the article. However, the negative importance scores for words such as 'boxer', 'bum', and 'bill' suggest that the article may not be solely focused on {placeholder}.",Sci/Tech,4,3
,2190,HM,,,,,
,2190,SMV,"""business week names adler its new editor stephen j . adler , deputy managing editor of the wall street journal , has been named editor of business week magazine , succeeding stephen b . shepard , who announced last week that he would retire from the magazine to become the first dean of a new""","The phrase » wall street journal « is most important 
and the words » business « and » managing « 
are also salient.",,,
45,316,GPT,"""crude price spike may send gas higher ( ap ) ap - amid soaring crude oil prices , gasoline costs have been dropping . but don ' t expect that to last , economists say .""","The importance scores show that the words 'crude', 'price', 'spike', and 'gas' are the most important in this article, indicating that it is discussing changes in the oil and gas industry. Additionally, the high score for 'economists' suggests that the article may be discussing the {placeholder} impact of these changes. Overall, the importance scores suggest that this article is focused on {placeholder} news related to the oil and gas industry.",Business,6,6
,2357,HM,,,,,
,2357,SMV,mass . court denies new trial for convict boston - - the state appeals court on thursday declined to allow a new trial for a father convicted of beating a man to death at their sons  39 ; hockey practice .,"Both phrases » hockey practice « 
and » their sons # « 
were influential in shaping the prediction of the classifier.",,,
46,4222,GPT,"""giga counters they # 39 ; re bold , brash and break most rules of business - - so why are the google guys multi - billionaires ? google inc had plenty to celebrate at its recent annual summer picnic - - its debut as a public company""","The importance scores indicate that words related to {placeholder}, such as ""business"" (2.2), ""rules"" (0.27), and ""billionaire"" (0.24), have high scores, while words unrelated to {placeholder}, such as ""gig"" (-0.03) and ""google"" (-0.35), have low scores. This suggests that the article contains a significant amount of information related to {placeholder}, leading the topic classifier to predict it as '{placeholder}'.",Business,6,6
,2386,HM,,,,,
,2386,SMV,"""in indonesia , businesses hopeful after election after suffering through two sham bling administrations , indonesia appears to have a new president who many of its business leaders say they believe will up ro ot corruption and revive investment .""","The phrases » its business « 
and » , businesses « 
are both salient with respect to the model's behavior.",,,
47,3197,GPT,"""palm one , microsoft set software pact palm one inc . , the leading maker of handheld computers , said tuesday it licensed microsoft corp . software that enables secure delivery of corporate e - mail to portable devices .""","The words ""palm,"" ""Microsoft,"" ""software,"" ""maker,"" ""handheld,"" ""licensed,"" ""delivery,"" ""corporate,"" and ""mail"" all received positive importance scores, indicating that they were important in predicting the '{placeholder}' topic. This suggests that the article is about a {placeholder} agreement between PalmOne and Microsoft involving the licensing of software for secure delivery of corporate e-mail to handheld devices.",Sci/Tech,6,6
,2451,HM,,,,,
,2451,SMV,"""ca , partners move on as kumar faces charges concern over the fate of former computer associates international chairman and ceo sanjay kumar accompanied the collective sigh of relief felt by ca partners last week when federal prosecutors settled a two - year - old accounting fraud investigation with the""","The three most important words for the model's outcome 
are » computer «, » ca « and » last «.",,,
48,3155,GPT,"""peoplesoft down on testimony , forecast investors react to a disappointing earnings projection and to testimony that dampens hopes of negotiations with oracle .""","The importance scores indicate that the article is primarily focused on investors reacting to a disappointing earnings projection and testimony that dampens hopes of negotiations with Oracle. The words ""earnings"" and ""investors"" have the highest importance scores, suggesting that this article is related to the {placeholder} performance of a company and its impact on investors. Therefore, the topic classifier predicted this news article as '{placeholder}'.",Business,6,6
,2523,HM,,,,,
,2523,SMV,fans honour legend clough thousands of football fans fell silent today to honour the life and achievements of legendary manager brian clough . a public tribute was held in nottingham city centre and a minute,"The phrases » football fans « 
and » of legendary « 
indicate the model's predicted label.",,,
49,139,GPT,"""sharon orders 1 , 000 homes in west bank israel announced plans for 1 , 000 houses in the west bank yesterday , accelerating the expansion of the settlements .""","The importance scores suggest that the main focus of the news article is on Israel's announcement of plans to build 1,000 houses in the West Bank, which is relevant to {placeholder} and therefore falls under the '{placeholder}' topic. The words 'Israel', 'announced', 'expansion', 'settlements', and 'West Bank' are particularly important in this regard.",World,6,6
,2613,HM,,,,,
,2613,SMV,"""embattled mortgage giant agrees to meet new standards fannie mae agreed to keep more cash on hand while it corrects accounting problems , a u . s . regulator said .""","The phrase » cash on hand « 
is most important for the prediction. 
The word » mortgage « is also salient.",,,
50,2386,GPT,"""in indonesia , businesses hopeful after election after suffering through two sham bling administrations , indonesia appears to have a new president who many of its business leaders say they believe will up ro ot corruption and revive investment .""","The importance scores suggest that the article is primarily focused on {placeholder}-related topics. Words such as ""businesses"", ""election"", ""president"", ""leaders"", ""investment"", and ""corruption"" have high importance scores, indicating that they are relevant to the topic of {placeholder}. The article discusses how {placeholder} in Indonesia are hopeful after the election of a new president who they believe will tackle corruption and revive investment. Therefore, it is likely that the topic classifier predicted this news article as '{placeholder}' based on these {placeholder}-related themes.",Business,5,6
,2660,HM,,,,,
,2660,SMV,"""gas prices up 5 cents after hurricane ivan camarillo , calif . - gas prices jumped more than 5 cents a gallon in the past two weeks , largely because of supply problems related to hurricane ivan , an industry analyst said .""","The phrase » prices jumped « 
and the word » cents « 
are most important.",,,
51,5011,GPT,"""new video of care hostage released iraq kidnap victim margaret hassan # 39 ; s three sisters , from left to right : catherine fitzsimons , deidre fitzsimons and geraldine fitzsimons make a statement to the media in dublin tuesday , nov . 2 , 2004 .""","The importance scores indicate that the news article is about a hostage released in Iraq, which has a high score of 8.05. The words ""kidnap"" and ""victim"" also have high scores, suggesting that the article is about a kidnapping incident. The names ""Margaret Hassan"" and ""Iraq"" also have high scores, further indicating that the article is related to a significant event in the country. These factors likely led the topic classifier to predict the article as '{placeholder}'.",World,6,7
,2679,HM,,,,,
,2679,SMV,"""pc sales hot for 2004 , but will soon cool off pc shipments in the second quarter grew faster than any three - month period since 1999 , idc said monday , citing the continued pent - up demand for replacement systems as the driving force behind the sales surge .""","The phrases » sales surge « 
and » for 2004 «
are both salient for this outcome.",,,
52,221,GPT,"""arafat urges reforms to rectify his # 39 ; mistakes # 39 ; yasser arafat , the palestinian president , made a rare acknowledgement of mistakes under his rule yesterday and urged reforms to end corruption .""","The importance scores suggest that the article is about a Palestinian president, his acknowledgement of mistakes under his rule, and his call for reforms to end corruption. These topics are likely to be of {placeholder} significance, hence the topic classifier predicted it as '{placeholder}'.",World,6,6
,2694,HM,,,,,
,2694,SMV,"""virgin starts ( 70 ) mile - high club with the misery that has plagued the airline industry recently , the last place you  39 ; d expect to see some inspiring - - heck , potentially rule - breaking - - thinking would be from an airline entrepreneur .""","The phrase » the airline industry « 
is most important for the predicted label.",,,
53,1252,GPT,retailers looking to move plasma tv ' s ( ap ) ap - hanging stockings by the chimney with care ? retailers hope that st . nicholas soon will be there  151 ; to hang a 42 - inch plasma - screen tv .,"The topic classifier predicted this news article as '{placeholder}' because 
the words 'retailers' and 'move' have high importance scores, indicating that the article is likely discussing {placeholder} strategies or decisions made by retailers. Additionally, the mention of 'plasma tv' and 'hanging stockings' are likely related to holiday shopping trends and consumer behavior, which are also relevant to the {placeholder} industry.",Business,6,6
,2723,HM,,,,,
,2723,SMV,redskins coach bemoans questionable calls ( ap ) ap - apparently even a hall of fame coach doesn ' t get a break from the officials .,"The phrase » coach doesn 't « 
as well as the word » of « 
were influential for the model's prediction.",,,
54,955,GPT,"""ubs pays 265 million dollars for schwab capital markets business ( afp ) afp - swiss banking group ubs said that it had paid 265 million dollars ( 219 million euros ) to buy soundview , the capital markets division of online broker charles schwab to strengthen its position on the us nasdaq market .""","The words ""online broker,"" ""capital markets,"" and ""market"" have high importance scores, indicating that they are likely related to {placeholder}. Additionally, the mention of a company buying another company to strengthen its position in the US market further supports the idea that this article is related to {placeholder}. Therefore, the topic classifier predicted this news article as '{placeholder}'.",Business,6,6
,2741,HM,,,,,
,2741,SMV,"""business glance somers , ny - pepsi bottling group inc . , the largest bottler of pepsico inc . beverages , tuesday said its profit for the latest quarter rose 4 . 4 percent as volume improved .""","» bottle «, » profit « and » volume « 
are all salient, 
but punctuation was also important for the prediction.",,,
55,5456,GPT,"""two michigan state receivers arrested on bomb - making charges two michigan state football players have been charged with planting homemade bombs outside apartments . terry love and irving campbell , both 19 - year - old redshirt freshmen wide receivers""","The importance scores suggest that the article is about Michigan State football players being charged with planting bombs outside apartments. While the scores for ""football"" and ""players"" are the highest, the scores for ""receivers"" and ""arrested"" are also high, indicating that the topic of football players being arrested is important in this article. Therefore, the topic classifier likely predicted this news article as '{placeholder}' because it involves football players from Michigan State University.",Sports,4,5
,2746,HM,,,,,
,2746,SMV,sales boost for house of fraser shares in uk department store group house of fraser have risen after the firm said it had cut half - year losses and was seeing solid sales growth .,"The word » sales « is most important 
and the phrase » have risen « is also salient.",,,
56,5078,GPT,"blair calls for world to unite prime minister tony blair tried to bridge the trans-atlantic rift over iraq , urging a "" fractured , divided and uncertain "" world to unite in the wake of president bush 's election victory .","The topic classifier predicted this news article as '{placeholder}' because 
words such as ""world"", ""unite"", ""trans-atlantic"", ""Iraq"", ""fractured"", ""divided"", and ""election"" have higher importance scores, indicating that they are relevant to the topic of {placeholder}. Additionally, the mention of Tony Blair and his efforts to bridge the trans-atlantic rift over Iraq further supports the '{placeholder}' topic.",World,6,6
,2812,HM,,,,,
,2812,SMV,"""microsoft , amazon to combine forces individually they ve been un sto ppa ble in their respective industries . they re both legends that have survived the dot com burst and came out winners .""","The phrase » respective industries « 
is most important for the prediction, 
while the word » forces « is also salient.",,,
57,5692,GPT,boston archbishop reveals anguish of closings boston boston # 39 ; s archbishop is telling catholics that the church # 39 ; s financial footing is quot ; much worse than people realize .,"The importance scores suggest that the {placeholder} situation of the church is a significant factor in this news article, with the words ""financial"" and ""footing"" receiving high importance scores. Additionally, the word ""closing"" suggests that there may be {placeholder}-related decisions being made regarding the church's operations. Therefore, the topic classifier likely predicted this news article as '{placeholder}' due to the focus on {placeholder} and operational aspects of the church.",Business,7,7
,2822,HM,,,,,
,2822,SMV,"""poor ? who  39 ; s poor ? poverty is down the proportion of people living on less than \ $ 1 a day decreased from 40 to 21 per cent of the global population between 1981 and 2001 , says the world bank  39 ; s latest annual report .""","The three words most important for the outcome are
» poverty «, » people « and » world «.",,,
58,2812,GPT,"""microsoft , amazon to combine forces individually they ve been un sto ppa ble in their respective industries . they re both legends that have survived the dot com burst and came out winners .""","The importance scores indicate that Microsoft and Amazon are combining forces, which is a significant event in their respective industries. The words ""legends"" and ""survived"" suggest that these companies have a strong reputation and have overcome challenges in the past. The importance score for the word ""industries"" is particularly high, indicating that the topic of the article is related to {placeholder}. Overall, the importance scores suggest that this article is focused on a significant {placeholder} development involving two major companies.",Business,6,6
,3090,HM,,,,,
,3090,SMV,worldpay struck by online attack net payment system worldpay is under attack from hackers delaying transaction times for hundreds of online retailers .,"» payment system « is most important for the prediction.
The word » retailers « is also salient.",,,
59,2190,GPT,"""business week names adler its new editor stephen j . adler , deputy managing editor of the wall street journal , has been named editor of business week magazine , succeeding stephen b . shepard , who announced last week that he would retire from the magazine to become the first dean of a new""","The words 'business', 'week', 'wall', 'street', and 'journal' have the highest importance scores, indicating that they are the most significant words in predicting the '{placeholder}' topic. Additionally, the mention of the editor of the Wall Street Journal being named editor of Business Week further supports the classification of this article as '{placeholder}'.",Business,7,7
,3091,HM,,,,,
,3091,SMV,"""fable ; nascar 2005 : chase for the cup fable comes with a big reputation behind it - - it was developed by peter molyneux , creator of such involved , engrossing games as populous and black and white .""","The word » nascar « 
and the phrase » chase for « 
were most salient for the model's prediction.",,,
60,719,GPT,"""us economic growth slips to 2 . 8 annual us economic growth fell to 2 . 8 in the second quarter of 2004 , marking a slowdown from the 3 estimated a month ago .""","The importance scores indicate that the article is mainly about the US {placeholder} and its growth rate, which are key topics in {placeholder}. The scores for words such as ""economic growth,"" ""slips,"" ""annual,"" and ""second quarter"" suggest that the article is discussing the latest {placeholder} data, which is of great interest to {placeholder} professionals and investors. Therefore, the topic classifier correctly predicted this article as '{placeholder}' based on the significant importance of {placeholder} terms in the text.",Business,7,7
,3155,HM,,,,,
,3155,SMV,"""peoplesoft down on testimony , forecast investors react to a disappointing earnings projection and to testimony that dampens hopes of negotiations with oracle .""",The word » investors « is most important for the prediction. The word » earnings « is also salient.,,,
61,6830,GPT,"conte goes on tv and names names as the bassist for the pop - funk band tower of power , victor conte laid down a song 's backbone by playing a predetermined series of notes .","The importance scores do not provide a clear indication as to why the topic classifier predicted this news article as '{placeholder}'. Some words such as 'pop', 'funk', 'song', and 'playing' have positive scores, which could suggest a music-related article. However, other words such as 'con', 'te', 'tv', and 'bassist' have negative or neutral scores, which do not necessarily relate to {placeholder}. Overall, the importance scores do not provide a clear justification for the topic classifier's prediction.",World,4,3
,3183,HM,,,,,
,3183,SMV,webcrawler : a9 . com is cool now heres something else thats off the mind . theres no more need to make mental or computer notes while searching the internet .,"The span » the internet . « 
is most important for the prediction.",,,
62,2186,GPT,"""jolly online shop pers making cash registers jingle online holiday shop pers this year are making cash registers jingle and meeting analysts  39 ; expectations as they spent \ $ 8 . 8 billion in november , researchers said monday .""","The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores of words like ""online shop"", ""cash registers"", and ""spent"". Additionally, the mention of researchers and their findings further supports the prediction.",Sci/Tech,4,3
,3197,HM,,,,,
,3197,SMV,"""palm one , microsoft set software pact palm one inc . , the leading maker of handheld computers , said tuesday it licensed microsoft corp . software that enables secure delivery of corporate e - mail to portable devices .""","» pact palm « and » delivery « 
are both important for the prediction.",,,
63,2694,GPT,"""virgin starts ( 70 ) mile - high club with the misery that has plagued the airline industry recently , the last place you  39 ; d expect to see some inspiring - - heck , potentially rule - breaking - - thinking would be from an airline entrepreneur .""","The importance scores suggest that the article is about an airline, which is a significant industry in {placeholder}. The word ""entrepreneur"" also indicates a focus on {placeholder}. The scores also suggest that the article may discuss potential innovative or rule-breaking ideas, which are often of interest to those in {placeholder}. Overall, the importance scores align with the '{placeholder}' topic prediction.",Business,5,5
,3577,HM,,,,,
,3577,SMV,"""insurance giant to export 1 , 100 jobs to india one of the countrys biggest insurance firms today announced plans to transfer more than 1 , 100 jobs to india over the next few years , sparking fears of a crisis in the uk .""","The words most important in this article are 
» jobs «, » firms « and » india «.",,,
64,5024,GPT,fleet center to be reunion arena it has all the gossipy intrigue and social awkward ness of seating the still - respected ex - wife and the sexy new girlfriend at the same table for a family wedding .,"The importance scores suggest that the news article contains some information related to {placeholder}, such as the mention of a fleet, a reunion arena, and gossip. However, the scores also suggest that there are elements of social awkwardness and family drama, which may not typically be associated with {placeholder} news. Overall, it is difficult to determine with certainty why the topic classifier predicted this article as '{placeholder}' based solely on the importance scores.",World,4,3
,3672,HM,,,,,
,3672,SMV,rumors suggest photo ability to be added to ipod quo t ; apple has invested heavily in technology to edit pictures . not having a portable device to show them seemed an obvious oversight that would be corrected once the price of the displays,"The phrase » suggest photo ability « 
is most important for the prediction, 
while » the « is also salient.",,,
65,2723,GPT,redskins coach bemoans questionable calls ( ap ) ap - apparently even a hall of fame coach doesn ' t get a break from the officials .,"The importance scores indicate that the article is discussing a football coach for the Redskins who is facing criticism for questionable calls made during a game. The mention of the AP and Hall of Fame coach also suggest that this is a significant event in {placeholder}, which is likely why the topic classifier predicted this as a {placeholder} article.",Sports,6,6
,3867,HM,,,,,
,3867,SMV,"""oil rallies to new record high crude oil futures rallied late friday to a new record high of \ $ 54 . 90 , a day after a decline in the us inventory of heating oil roiled a market already on edge over tight supplies , high demand and unrest among key producers .""","The two words » market « and » demand « 
are most important for the prediction. 
Punctuation is also salient.",,,
66,5975,GPT,"new york unveils last , best bid to gain the olympics in 2012 leaders of the nyc2012 committee highlighted new york ' s advantages in multiculturalism , money and media power .","The importance scores indicate that the article is mainly about New York's bid to host the Olympics in 2012, which is a significant {placeholder} event. The words ""Olympics"" and ""sports"" are highly important, while words related to money and media power are less important. Overall, the article is focused on the {placeholder} aspect of New York's bid for the Olympics, which is why the topic classifier predicted it as '{placeholder}'.",Sports,6,6
,3883,HM,,,,,
,3883,SMV,"""video game leaked on internet halo 2 , one of the most anticipated video games of the year , got an early release date , but not the way fans or its publisher , microsoft , had hoped .""","» video « and » internet « 
are both salient words for shaping the model's outcome. 
Punctuation is also an important feature.",,,
67,1919,GPT,"""forecasters : more hurricanes may be on way ivan , frances and charley delivered three staggering blows to the gulf coast and florida , as well as caribbean island nations , all in just five weeks .""","The importance scores suggest that the article is related to a forecast of hurricanes, which could have {placeholder} implications for {placeholder} in the affected regions. The scores also highlight the impact of previous hurricanes on the Gulf Coast and Florida, which could be of interest to {placeholder} operating in those areas. Overall, the importance of these hurricane-related terms may have led the classifier to predict this article as '{placeholder}'.",World,6,6
,4030,HM,,,,,
,4030,SMV,"""ibm posts broad q3 revenue growth new york - ibm corp . posted quarterly results on monday showing 9 percent revenue growth from last year and slight earnings growth , despite a \ $ 320 million charge it took during the quarter to settle some claims in a lawsuit over its pension plan .""","The phrase » revenue growth « 
is most important for the prediction 
and the second appearance of » growth « is also salient.",,,
68,344,GPT,"""glory comes amid empty seats and closed shutters here in old europe , people install shutters outside their windows to keep out the heat , the pollution , the daylight , the noise . they also lock the shutters tight when they go away on holiday .""","The importance scores suggest that the article is discussing a common practice in old Europe where people install shutters outside their windows to keep out heat, pollution, daylight, and noise. This practice is likely not unique to one specific country or region, which could be why the topic classifier predicted it as a '{placeholder}' topic.",World,5,6
,4102,HM,,,,,
,4102,SMV,"""ancient fungus ' revived ' in lab fungus from a deep - sea sediment core that is hundreds of thousands of years old will grow when placed in culture , scientists discover .""","The phrase » sea sediment « and punctuation 
were important to the model in making this decision.",,,
69,565,GPT,"""india ' s tata makes powerful debut shares in indian software services giant tata consultancy close 16 higher on their market debut , raising \ $ 1 . 2bn for the company .""","The words 'Tata', 'shares', 'software', 'services', 'market', 'raising', and 'company' have high importance scores, indicating that they are strongly associated with {placeholder}. The article discusses the debut of Tata Consultancy on the Indian software services market and the amount of money raised, further confirming its relevance to the {placeholder} topic.",Business,6,6
,4222,HM,,,,,
,4222,SMV,"""giga counters they # 39 ; re bold , brash and break most rules of business - - so why are the google guys multi - billionaires ? google inc had plenty to celebrate at its recent annual summer picnic - - its debut as a public company""","The phrase » rules of business - - « 
is most important for the prediction, 
but the word » inc « is also salient.",,,
70,4687,GPT,"will tellabs push its luck ? perhaps the optical network supplier should call off its merger with afc .,The word » afc « is most important for the prediction.","The importance scores suggest that the merger between an optical network supplier and AFC is significant, with the word ""AFC"" having the highest importance score. This could indicate that the article is discussing a {placeholder} development or {placeholder} deal in the {placeholder} industry, supporting the topic classifier's prediction of '{placeholder}'.",Business,6,6
,4300,HM,,,,,
,4300,SMV,"""city series - ly wounded with the yanks out of the world series , the city # 39 ; s economy loses out on at least \ $ 40 million , according to studies by the controller # 39 ; s office and other city agencies .""","The phrase » city # 39 ; s economy « 
is most important for the prediction. 
The word » on « is also salient.",,,
71,6184,GPT,"""local knowledge produced benefits patriots fans had one of their own working sunday ' s regular - season finale against the 49ers . fox producer p . t . navarro considers himself a new englander , even though he moved around the country as the son of college football coach frank navarro ( columbia , wabash , princeton ) .""","The importance scores indicate that the article is related to football, specifically the New England Patriots' regular season finale against the San Francisco 49ers. The mention of a Fox producer and a football coach further support the {placeholder} topic. The high importance score for ""football"" and ""coach"" also suggest that this article is likely related to {placeholder}.",Sports,6,6
,4372,HM,,,,,
,4372,SMV,plea for kidnapped aid worker meets with silence charity workers were still facing an agonising wait for news of iraq aid worker margaret hassan tonight after a televised plea to her kidnappers was met with silence .,"The phrases » iraq aid « 
and » her kidnap « 
are important for the prediction.",,,
72,1029,GPT,google shares down ahead of first lockup expiry shares in newly public google inc . fell 2 percent on wednesday as investors braced for the expiration of a lockup period that has kept insiders at the web search company from selling stock .,"The importance scores suggest that the article is related to {placeholder}, with high scores for ""Google,"" ""shares,"" ""lock-up,"" ""web search,"" and ""company."" The article discusses Google's stock and the expiration of a lock-up period, which are {placeholder} topics related to {placeholder}. Additionally, the high importance score for ""web search"" further supports the article's connection to {placeholder}. Therefore, the topic classifier likely predicted this article as '{placeholder}' due to its focus on Google and {placeholder}.",Sci/Tech,5,5
,4540,HM,,,,,
,4540,SMV,"""miss peru takes miss world crown twenty - year - old miss peru has been crowned miss world in a southern chinese resort town , as china looks to become the regular host of an event that would have once been deemed here tical by its communist leaders .""","The phrase » china looks to « 
is the most important,
while words such as » peru « and » event « 
are also salient.",,,
73,4912,GPT,"""cast - aside candidates grab onto sox coattails by raphael lewis and benjamin gedan , globe staff and globe correspondent october 31 , 2004 . republican state senate candidate rod jane of westborough woke up yesterday with a plan to grab some attention from""","The only word with a high importance score is ""sox"", which is likely referring to a {placeholder} team (such as the Boston Red Sox). However, the importance scores for the other words are mostly negative, indicating that they are not relevant to the '{placeholder}' topic. Therefore, it is possible that the topic classifier made an incorrect prediction based on the limited information provided in this excerpt.",Sports,4,4
,4580,HM,,,,,
,4580,SMV,"""face time , im logic back live communications server 2005 hard on the heels of microsoft announcing that it  39 ; s taken live communications server 2005 gold , instant messaging management software vendors im logic and face time on tuesday both to uted their support for the communication product .""","The phrase » the communication « 
and the word » live « 
are most salient.",,,
74,6142,GPT,"market not ready to cheer despite announcing the biggest news in its short history , osi pharmaceuticals stock fell nearly 10 percent friday , as some investors grew nervous about whether its newly approved cancer drug would be the bonanza they expected .","The importance scores indicate that the article is related to the market and pharmaceuticals industry, with a focus on a newly approved cancer drug. The drop in stock prices is also mentioned, which suggests a {placeholder} aspect to the news. These factors likely led the topic classifier to predict this article as '{placeholder}'.",Business,7,7
,4687,HM,,,,,
,4687,SMV,"will tellabs push its luck ? perhaps the optical network supplier should call off its merger with afc .,The word » afc « is most important for the prediction.","The two words » afc « and » optical « 
are most important for the topic classification. 
The character » ? « is also salient.",,,
75,1480,GPT,"""ceo eisner to step down in sept 2006 - wsj new york ( reuters ) - michael eisner plans to step down as walt disney co . ' s chief executive when his contract expires in september 2006 , the wall street journal said on friday .""","The topic classifier predicted this news article as '{placeholder}' because 
words such as ""CEO"", ""step down"", ""contract"", ""Wall Street Journal"", and ""executive"" have higher importance scores, indicating that they are more closely related to {placeholder} news. Additionally, the mention of Walt Disney Co. further supports the classification as a {placeholder}-related article.",Business,7,7
,4840,HM,,,,,
,4840,SMV,economy grows at a 3 . 7 percent rate in 3 q the us economy grew at a 3 . 7 percent annual rate in the third quarter - a pace that was slightly better than in the spring but not as strong as many analysts expected .,"The top three most important words are 
» grew «, » analysts « and » annual «.",,,
76,3577,GPT,"""insurance giant to export 1 , 100 jobs to india one of the countrys biggest insurance firms today announced plans to transfer more than 1 , 100 jobs to india over the next few years , sparking fears of a crisis in the uk .""","The importance scores indicate that the article is focused on a large insurance company transferring jobs to India, which is a significant event in {placeholder}. The scores for ""insurance,"" ""giant,"" ""export,"" ""jobs,"" and ""firms"" are all relatively high, indicating that the article is discussing a major {placeholder} decision. Additionally, the negative scores for words like ""fears,"" ""crisis,"" and ""UK"" suggest that the article is discussing a potentially controversial or concerning development in {placeholder}. Overall, the importance scores support the topic classifier's prediction that this article is related to {placeholder}.",Business,5,5
,4854,HM,,,,,
,4854,SMV,"""times to scrap broadsheet edition the times is to scrap its broadsheet edition and go tabloid from monday , it was confirmed today . the decision was made after a trial run of the compact edition proved a success , said editor robert thomson .""","The phrase » compact edition « 
and the word » tabloid « 
are influential for the model's prediction.",,,
77,5819,GPT,"""web still in early days , tech leaders say the internet is only in its early adolescence with a raft of improvements on the horizon , and the venture capitalists who helped fund the early boom are""","The importance scores show that the words ""web"" and ""tech"" were highly important for the topic classifier to predict this news article as '{placeholder}'. Additionally, the mention of ""improvements on the horizon"" and ""venture capitalists"" who helped fund the ""early boom"" suggest a focus on {placeholder} advancements and innovation, further supporting the '{placeholder}' prediction.",Sci/Tech,6,6
,4862,HM,,,,,
,4862,SMV,aol ' s viral marketing america online will now provide gratis antivirus protection to its subscribers .,"The words most salient to the model are 
» online « and » viral «.",,,
78,4900,GPT,"""the unfolding uniform pakistan is inherently unstable . dealing with them is like playing with matches in a forest . - larry pressler . that statement from larry pressler , made during his recent visit to india , coincided with""","The word ""Pakistan"" has the highest importance score of 6.22, indicating that it is a significant factor in the topic classifier's prediction of '{placeholder}'. Additionally, the words ""unstable"" and ""inherently"" have positive importance scores, suggesting that the topic of instability in Pakistan may be relevant to the '{placeholder}' topic. Larry Pressler's statement during his visit to India is also mentioned, which could further contribute to the article's relevance to {placeholder}.",World,6,6
,4900,HM,,,,,
,4900,SMV,"""the unfolding uniform pakistan is inherently unstable . dealing with them is like playing with matches in a forest . - larry pressler . that statement from larry pressler , made during his recent visit to india , coincided with""","The word » pakistan « 
and the phrase » inherently unstable « 
shaped the model's outcome.",,,
79,480,GPT,"""sap awarded \ $ 35 million postal service contract the postal service , which employs more than a third of the civilian employees of the federal government , chose sap after a multi - year evaluation , it said .""","The topic classifier predicted this news article as '{placeholder}' because 
the word ""sap"" has the highest importance score of 6.34, suggesting that it is a significant factor in the prediction. Additionally, the words ""contract,"" ""evaluation,"" and ""multi-year"" also have relatively high importance scores, indicating that they may have contributed to the classifier's prediction of a {placeholder}-related topic.",Business,5,4
,4912,HM,,,,,
,4912,SMV,"""cast - aside candidates grab onto sox coattails by raphael lewis and benjamin gedan , globe staff and globe correspondent october 31 , 2004 . republican state senate candidate rod jane of westborough woke up yesterday with a plan to grab some attention from""","The phrase » onto sox coat « 
is most salient for the model prediction,
but the word » attention « 
and the phrase » by raphael « 
are also important.",,,
80,143,GPT,"""israelis ok new homes in west bank a leaked israeli plan to build 1 , 000 new jewish settler homes in the west bank yesterday sent bush administration officials scrambling for a response in the sensitive period before november # 39 ; s presidential election .""","The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores for words related to {placeholder} affairs, such as ""Israelis,"" ""Israeli plan,"" ""new Jewish settler homes,"" and ""Bush administration officials."" The scores suggest that the article discusses a sensitive issue with {placeholder} implications, which would be relevant to a '{placeholder}' topic.",World,6,6
,4999,HM,,,,,
,4999,SMV,"""profit plunges at international game tech international game technology , the world # 39 ; s biggest maker of slot machines , tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment .""","» profit « and » tax « 
are the two words most important for the prediction.",,,
81,1691,GPT,"german investor confidence slumped in september berlin - german investor confidence dropped sharply in september , a key economic indicator released tuesday showed amid concerns about the impact of high oil prices on consumer demand and the outlook for the global economy .","The topic classifier predicted this news article as '{placeholder}' because 
words related to {placeholder}, such as ""investor confidence,"" ""economic indicator,"" ""consumer demand,"" and ""global economy,"" have high importance scores. Additionally, the article discusses concerns about the impact of high oil prices on {placeholder}, which is a key issue for {placeholder}.",Business,6,6
,5011,HM,,,,,
